review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
Puh2Z8zn0iVzKZER_DhqMg,0.1875,2015,119,668
jSOmVfXs9XR7W_mCRwo5ew,0.29963414634146335,2018,47,219
YMZGR4gVzZVCddZRhd-Ztg,0.31719694822373395,2018,39,190
71Dnpu49OggQuSZpvCfexQ,0.3181111111111111,2018,35,325
bir_qNNm48GJi_X6h3Ax3w,0.27880291005291,2017,35,182
o0Z1DjfmQ2uwS1tydwPZmQ,0.15809228650137744,2014,33,1169
0Nvv1k_e5rHcocqQwTTNfQ,0.07866300366300367,2010,31,625
dpoUgUtt07lfMKauVZNIDA,0.34285714285714286,2018,31,200
iowVksq6nm1VLe2eUhCCfQ,0.08119588744588746,2014,30,377
MQDyEBEx80ZQAFZzMfqgUg,0.14322916666666669,2018,28,232
oAqzZMuT5QMcw4FrKAWYfA,0.21756968641114982,2018,27,245
53syeK-C2YHIWDRRkvNjZA,0.2416858678955453,2016,26,96
v4PBtThBnOMBA28mswM7Ig,0.18857526881720427,2018,25,220
bIHmFihbwZEUJKPWh_Rdlw,0.05618055555555557,2018,24,142
xP0n79YW4ZOSFYEbR9EdmQ,0.431875,2018,23,359
LbJXkNNECuMiTjf58SuoUA,0.13136904761904764,2011,23,151
mFUNXzZT_pEaedLacmUQsA,-0.020254629629629622,2015,23,284
v8lfLuXRcp0jug1b7rdelQ,0.3596051103368177,2017,22,110
Lvq0Qb9iqRWGGT6vX8gSxQ,0.22274705581157195,2016,22,206
rv39ZmvS78ctIFg6K7dl7g,0.29166666666666663,2013,21,411
mES-2Uj_j7xe7QsyB_KLHg,0.12529761904761905,2016,21,113
Q1bcukNqRoin-MSZ1Th6Gg,0.2434813248766737,2016,20,177
J0tRhUlag9zTuYT_Siy9CA,0.18201884920634923,2015,20,556
imyoh43cT_cEQz-1frxq8g,0.007646464646464641,2015,19,0
LhvDA_euBrFpfbC2pNt63A,0.29746993746993755,2017,18,45
2M2ID04PPDa590so5UWtmg,0.010493827160493827,2011,18,328
NIzdOBV2_BU7zP0fyYGyeA,0.271986346986347,2014,18,112
06Ii5JHFL_6P3ppHK-BPPw,0.3675,2014,17,915
HcNF1dNXJO-iVkPX-a2NYA,0.3290507518796993,2011,17,1698
icp7MbAYrzCkS8RIXtDQkg,0.1276111111111111,2009,17,1780
9FxIXAEL7dvy46zF0LvaCA,0.314484126984127,2015,16,283
GLgkPhtCFATi26mVwMcPjg,0.10621753246753246,2017,16,164
J5vHl8B0cSEU3PcKpSveyw,0.4145833333333333,2009,16,233
FOQ75YFChHvop75pCn5Jag,0.35312499999999997,2018,15,377
lnhwXEv52MXOpgk8UKf-qw,0.12118055555555556,2016,15,4
-R2u9mT45myzmaayGkNDAQ,0.444,2017,14,126
8UDP0oV4yUiTM_qV86500w,0.3698137626262626,2015,14,406
H3hffpULIFbFRpY6KXFryA,0.02777777777777778,2014,13,36
lW8P3hP9e6s3wQBDlAJKCg,-0.05041152263374485,2014,13,9
rNEjMa3n7D2NlAWa8G1FSA,-0.00714285714285715,2013,13,7
PCa0iEhjwGgVYtvFQ2pxlA,0.27083333333333337,2014,13,313
8oZuv3yXt8-yUhIpdZ80Sg,0.1938017743573299,2016,13,18
eRNRpje6ko6mbXf7zzkXRQ,0.23379316979316983,2015,13,125
ZE2dCYZcN6dwKpBbRBmWbA,0.15396929824561406,2017,13,143
UrytfpqEfY4ZyOCk5QuFvA,0.08888888888888888,2017,13,10
HpueSJYkdmqb8jm6EfTwUQ,0.16785714285714287,2018,12,134
AQPqutD_AuhWRFIi0NiNOA,0.034016754850088184,2015,12,20
H389nK2cqiCAzMvzu7wkkA,-0.022700702075702066,2016,12,13
p4heVnrumo6d7LprUmFC7w,0.2833333333333333,2016,12,3
k4PbxAfb_UgfA14eOCsnAQ,0.3336206896551724,2011,12,2
nYVciedQZbujtKMg5Po63g,0.02500000000000001,2015,12,4
qyrFliQXpnnIEmeaMORYzQ,0.22537500000000002,2015,12,68
ErWMSRQ2bAGRFIF8YiO7Xw,0.126271645021645,2012,11,149
YfRIYgCL0KDPA_wG209CkQ,0.25,2008,11,69
0irn1C3AXKfFCGS7WMnorw,0.23617886178861788,2017,11,89
KNh6Fs_oEfbE5e_MpdvQXg,0.28206521739130436,2011,10,293
yHuL_Ny3Hn5dOmx21yLBoA,0.027338624338624336,2008,10,2
MRI8bt0sLxRs8crrbjCjfg,0.1968627450980392,2015,10,196
PtL2CWO0-wFl9anoCNeTiA,0.2272195165945166,2017,10,78
02kZVIKhfc_xlmEFbxat_A,0.1458089947089947,2016,10,7
AjdXn5Qml_ufM_5qA549vA,0.12027000777000779,2017,10,122
Ys0VLH2d5ERYJtcbMKvkhA,0.1900793650793651,2015,10,158
GzTR-g5KZK_hxLs-wHBQaA,0.26,2018,10,94
bBpLGgOu8wfzWIAk2wzxsg,0.1705558491895701,2011,10,397
4VlXBpKBXTFzt6N23f4D6w,0.06432291666666667,2012,10,1
Ftarrc--6EFefPNfogQbSQ,0.18162202380952383,2008,9,21
Qv_8AMwTQ7Q5gLcIJ-Lw7A,0.07039473684210527,2017,9,4
1N_jBBf6MjKTV4Ej9ZAtrQ,0.3421929824561404,2014,9,79
zrTRwuNJeIpWffcLRlI7jA,0.31815104166666663,2013,9,338
MTeaXNZ3OLGoI-ctIiYCSQ,0.15781144781144785,2008,9,116
WpizmDFrgBFVZY1Aa_xvAg,-0.015176767676767677,2014,9,0
jVUP_DVbNhPNWijhwNJ4vw,0.8216145833333334,2009,9,814
EExIZpZgxebn3SZfTA-nXg,0.042075289575289596,2016,9,0
cqOIlwiqtRy5Aa_pwLhB1w,0.15072964669738867,2015,9,5
hEQoyYwWGmVstV3LYv2fjw,0.0781291335978836,2011,9,55
zpoU00xj5YduxINr4zTV9g,0.011490683229813671,2017,9,3
uIcB1OfsyV-GaU2qChSJNw,0.3854166666666667,2016,9,225
3JneBqq7dfgOg17ypZn6gQ,0.08035285285285286,2015,9,59
3JO5YP7l1S4zk82cT1UEow,0.2844967532467532,2009,8,49
0cRTKniMMm2_-9TUIEvoEQ,0.08207502374169041,2016,8,9
-GoY7EomgJzXO2Cd_YAHEQ,0.19166666666666665,2011,8,188
P_LeX6JcWNgEnXRZonA2LA,0.27535014005602243,2015,8,181
gDRNamkPgKzYX6NmgAzz4A,0.12037986704653372,2012,8,5
Ejh_Gcw9NF1IC2SfS9HIzg,0.13020562770562769,2017,8,31
kyw3gZpk7Td8SjoBtG2CQQ,0.38799715909090904,2018,8,48
ltoZPWPVsh-60sPznkLW-g,0.18136904761904762,2016,8,61
YLtR_M9oO8jRP-kRtXrDJQ,-0.13333333333333333,2014,8,1
jAIC7OOq1Yx8t8Lf9gA7iQ,0.21558441558441555,2016,8,0
1HwcxH8AM3pviRiDQdurjA,-0.13396448206018519,2017,8,0
dS70u5HSGkrbkAqUrbN2-A,0.20422077922077922,2012,8,55
abR9e7pfrLHJ-lwg0YbOgQ,0.18404479578392627,2016,8,3
_P7dVs5CeJaeESD4efeR3g,0.17552976190476194,2017,8,21
cfVu7yLnIXxrfQ8v9MJfNA,0.18300865800865798,2016,8,7
2S22G3ajd-gJ9LvRX72kEQ,0.018645238095238093,2018,8,43
vYQRT384JMs6teiEOxnjiQ,-0.0892307692307692,2015,8,5
aJJbdqXQd-7xSiMrlAx4tQ,-0.011556036556036547,2016,8,0
4ns7uznDvvEqPIrDWAF23g,0.183974358974359,2016,7,31
QFQLHlvlx9UljYYONlFHyw,0.07777777777777777,2018,7,7
g43jYyxlLtM6UxD0yVAx1A,0.1970133053221288,2018,7,87
N99cD7RgPoCkIcj2JeFCaw,0.2731829573934837,2010,7,354
5ZhQYg9X7VB5y1U54AR7LQ,0.3301669034090909,2012,7,378
xvkO7AoLnEZXoZ_S0oH6sw,0.21154839713663237,2013,7,174
ssGG38E2Fi_v4oGsfBHhew,0.38706043956043945,2011,7,513
jLoVShxMH28gElHd3anjDA,0.14910714285714285,2016,7,0
1PyhYiqHemTOiRiQ9WJgIQ,-0.030777777777777772,2017,7,0
_9gBtOX28huacivY-jhW4w,0.014938446969696973,2017,7,15
ocwbwPHMjHY5_nQ8Zm7WBg,0.17805555555555558,2012,7,3
nyLII_jdZr9f32aDXX0A7g,0.07140310908603593,2010,7,4
t4opO7ILDVRFTPXL93cTug,-0.09812499999999999,2018,7,0
so4PQjSdPfol33-Tljl4FA,0.14285714285714285,2016,7,51
U33usiPxBamax0MOaHDRoQ,-0.11857142857142856,2014,7,18
Hny9pU46MnIaxTzWjJJN-Q,0.23542044595616024,2011,7,701
n3Xb22oldZyKSD10dZyEJQ,0.24879551820728285,2014,7,6
7Hz4wHVDTxEyJ-TYigHUyQ,0.042836134453781524,2014,7,0
Fnng_sUDHaj8kG69MvkpFA,0.3022470238095238,2008,7,22
o8Wr1T9H7fgGhstHVUX4KQ,-0.016490075580984677,2016,7,0
SKlR1NsQGjR4_Hnh7-rvAA,-0.08353174603174604,2013,7,32
kftdWKFgU1D4G7PphtPKZQ,0.08541666666666667,2016,7,2
abBigYTGtyEEI7H3xH2lNg,0.19812409812409812,2012,7,130
2OxEgFzy9w7v1GxtxHJ--g,0.10943821973233739,2016,6,0
s7OuL50jsOvdXla9-W5YjQ,-0.13594990079365077,2017,6,6
UA_EwulW15fRkz0grt22vQ,0.21325757575757576,2011,6,0
9XWq0LiqtG2410trLklMtA,0.15128446115288224,2010,6,87
n4zUkET9iswl2oCjy0bHWQ,0.05565476190476191,2015,6,112
NBeDlNymZoZV6HCPJbn-ZQ,-0.007011732229123534,2016,6,2
PLE3tNcAxCnWBGSK4Z_dxw,0.12675736961451248,2008,6,115
ITg0Hg2JJ6v_6-CQt8tyUA,0.229004329004329,2016,6,9
P_bK2vbgKu4mWz5EU1TGsA,0.3417676767676768,2018,6,83
wU7-KKbturOahhsfyiZ6KQ,0.18541950113378683,2010,6,127
JPkQy0OOnK6ANEKiH2CF2g,0.0036764705882352763,2014,6,24
beD2ov6M5oa3417SNOcQ2g,-0.0458353753165074,2016,6,1
_VTFAKhlxZ2UgHxzX17D4Q,-0.019230769230769232,2013,6,0
XfEyBhBzFGXLuTUK8rigRA,0.10238921957671959,2018,6,0
gjB9jTSNX7FEDwyRq7zz6A,0.041880341880341884,2012,6,2
aulMkygY_CKZwYVLqoudUA,0.2777777777777778,2011,6,162
DVPr6cRaBkkoidj-WAho-g,0.2976190476190476,2012,6,210
GFvIOAcnPQS8LtL8rICN1Q,0.3958447802197803,2014,6,3
mYlFCOZNDx1WvDhgicAOOg,0.07996031746031745,2017,6,40
GeCgBVDkK1D2s9ecOOgnAA,0.23869047619047623,2011,6,76
8MeWLgtj8FeODGeObYoYUQ,0.3091979949874687,2017,6,76
Kagxm35_gRdnV4wlKkfadA,0.13074712643678163,2014,6,26
CYcenr7pNbETGRl6Rhd6Zg,0.325,2017,6,89
n-vGsCAkkb4lviM1pvIriA,0.025028329513623628,2017,6,30
q8kNIq8vOXd59Zt-SRRabw,0.1996643518518518,2014,6,25
Nz0JGMSlThfJTxggEb7eNw,0.014561317677756034,2009,6,103
P0a8AxAWpeXLdQqSgg23IA,-0.05195578231292518,2016,6,2
dlVB_bOeIZ5Izqbh3uyOeg,0.019327731092436996,2018,6,5
pXgabpbqLQixaIPxYvH5QA,0.023249999999999996,2012,6,1
pCmsnRrEwgBzIB8JScVFVw,-0.1494949494949495,2015,6,10
wu4qiBwmAd-1sIPt_fv46Q,0.053030303030303046,2012,6,41
FsxwoKAbLfPXsrjdv5uIBg,0.018597590245775727,2012,6,2
wau4h3zui3ZwX2R5HzpKnw,0.011622807017543863,2014,6,172
SUCcGw51Bi6MHds4jTzxtA,0.3450577200577201,2016,6,5
2olcfH71Z9HYU0pjckInUQ,0.22187500000000002,2017,6,0
PdNKA3l8zbB2R1c0wpB4tw,0.34432870370370366,2010,6,3
N_Lb_SOUvX5JXvC8Ac3qYw,0.18357142857142855,2012,6,105
JdunJ8Ey4Gsg4wmRQtELKA,0.39231292517006805,2014,6,1
s2GsuR2bfHt4kRJZJlTlfA,0.1726013107263107,2014,6,226
1y2AAcEYleAZXGR-SB3WPQ,0.0633116883116883,2011,6,21
1vqrBfY_1GEO3DAxbK46cA,0.20083333333333334,2018,6,3
uYPU8mnN99W0XAtGJb4hwg,-0.2846491228070176,2015,6,2
EYCww6Ou3BYoIC_eV_ZBiA,-0.04093349358974359,2015,6,15
J9VXhw18Rh9IPejwrF94eQ,0.25972222222222224,2012,6,24
DDlKoP_DGJetxOI-xe5DNQ,0.419186507936508,2016,6,12
gHs5o1VVI_C60UCMWfdpTQ,0.16206831831831833,2015,6,13
SYsNCcKikKjEI8Wik8NXMA,0.27499999999999997,2010,6,101
6Ncd3KYE5V_4ZxlwgeGFvQ,0.003333333333333328,2015,6,1
IXe9JO_r6sYTt4Vly25liQ,0.3763888888888889,2014,6,7
QbJrYxzplMLWw_RZfumr7Q,0.20503451885804821,2012,6,52
Rm6f1xM3sxnChK-WKFbyJQ,0.382037037037037,2012,6,2
Ip7A47BIQk1Z8JQ6CIt_Kg,0.3541666666666667,2012,5,10
mdCmSssHDMoQMGn9rMb6Aw,0.17558479532163743,2015,5,14
-ZgFf6RjqbEsWcaCFDnw0g,0.42814814814814817,2015,5,528
v6h2ZCB0OJCRk0WlfX5WFw,0.0921831955922865,2010,5,1
V9mjSLfWy_gHYP2mQs1Yyw,-0.015267857142857144,2017,5,23
Uds_hH_k81LvuZL70X6agA,0.17051036682615633,2016,5,5
g7osVykPYco6hVlq-p6M5Q,0.08333333333333334,2016,5,18
EtryN8tdkHN5eGfwzjYjVQ,0.20265873015873018,2009,5,27
Q5xyCMdIj64oDT9ix3CsGw,-0.039674556213017735,2016,5,0
Ajzwjre0YMgZrzZtHhZvqA,0.2963541666666667,2010,5,89
Y2DO_1bERo48bwrbl0KD5w,0.0047619047619047745,2017,5,0
PbmOE2iakNvanrRM0S7__w,-0.09505787037037038,2015,5,7
pthk2buRrpkWuTZKetY1wg,0.08923611111111111,2015,5,1
OyjsW7Ojmwz4iSWgZxwl5Q,0.16,2015,5,50
mrBH8xxC8H5UKg9J5JMfTw,0.09833333333333333,2013,5,11
YbSqbrLAfa_vMXZh6IiJwg,-0.12021164021164017,2009,5,34
UrxRzCnV765W2k65iviYXA,0.11660353535353539,2014,5,11
hDrSpGBOsTneCmPvwnjC4Q,0.0,2012,5,77
Lao9oyr55RM6xCeBtE3QvQ,0.08229374791874794,2012,5,108
rOgvVxkMKviYzoDOI_eH-w,0.12065255731922402,2012,5,130
kbqbtqcH9bCjSh7vSfczVQ,-0.039380952380952385,2016,5,1
-__iPrAtLOuIJis8P-MUHA,0.159479945559491,2014,5,319
MjvVpzJXSnwaK-_lM2YgPQ,0.3058823529411765,2013,5,45
l2JFiclSBVM5DbAWc-mzIg,-0.05038919413919415,2014,5,8
pnNH1NFvBLdMRJ1LP8JxfQ,-0.007181259600614441,2014,5,30
PswDo6gi-s14sKLWKcBeYQ,0.15421245421245422,2016,5,33
Aqiu8zlgvgHKXZEMWDS2ug,-0.07720306513409962,2012,5,0
jmIZHwoUfOoSfnFWNYPb5Q,0.20070105820105824,2013,5,0
