review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
7QDz8qVfzqH1LNSVDgUQag,0.4038131313131313,2017,17,452
gVSCbPp6MjnOZKiudi1Gvw,0.3507777777777778,2018,10,62
K7zLMyeMne9KI43642rbsA,0.22175287356321838,2015,8,106
9hgvY6d1_d5JkAHRYm8OQw,0.38125000000000003,2013,8,78
gf1KqwmnT3UiPFuuKYB8Ww,0.5119929453262787,2012,7,528
6GkB1iyzJY7Z5m5p8UPpEg,0.07391666666666667,2010,7,51
4zOekkzu0iIDelj-HNCSUA,0.33230158730158726,2018,7,123
AXSItymMQkYmIn_A8sHD6g,-0.06056067588325651,2010,7,3
GCg7gn-uH81MQ-UsfCKaRw,0.23510044642857142,2010,6,402
MtvfWhl84XQNtrXtGLBPdQ,0.07571850726106044,2016,6,51
luj5tQWEto26FkYer1oVKQ,0.29874809014514897,2013,6,9
rYYY54SYpHzHO2ISwE336Q,0.24345471079846082,2012,6,9
wGK4GiSxLUBas3acFBCW9g,0.2111111111111111,2018,5,16
fm6L5C7TDd-BNrZNSU3fDQ,0.38144409937888196,2015,5,10
V00sA0rL2L7dOjQi8YQenw,0.140927750410509,2015,5,4
muHpKsO8UPlB77zPM70jCA,0.2608712121212121,2018,5,6
8wVZ9Mz8w2tKC0_J-1aD9A,0.24649107142857138,2016,5,23
nh9tC00ZGxdWmatJ1iEcIA,0.2617828798185941,2011,5,11
WNPqqOfl7A8BnlPMdPosMg,0.2733047619047619,2018,5,88
YcnuPMKMvQ56UmtLgHYw8Q,-0.16446428571428573,2016,4,60
zOwrK_OaTQ0zvVothDcEVg,0.13535416666666666,2009,4,117
0CgSBQBDC5InlnTVpg7irw,0.13000000000000003,2017,4,32
RbCWgHXreq9006bby64EDg,0.22705971277399847,2014,4,6
eyzW4rrCf2fqgNbh9synKQ,0.2027777777777778,2014,4,69
trP0J7y-Dw0PVGlJXzS8zg,0.14391414141414138,2010,4,3
AWeBNSHcRuvTmBVk0dh3rg,0.3134469696969696,2011,4,1
4zUV9FLsczeN2hPXicb5oQ,0.22821133412042505,2015,4,62
g8bgcnJ5Jkvx9YVuqxM91Q,0.24746240601503758,2015,4,87
