review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
zTOggDgQs5bY-U_G0R1_4g,0.0759081498211933,2013,49,397
6LYJXyUI-fZsFwGDnpOZGA,0.09375,2015,36,738
y4HbpicJjtYMFgyOyCDndw,0.10444444444444445,2018,25,451
MIYK9lAtG-JGBpQtDWNKAw,0.23733766233766224,2010,20,63
6_9osD9_5gspnUHbkAuURw,0.21701453308596166,2011,19,551
Vbm40EqPIaYotSF_K7pAyQ,0.3093434343434343,2017,19,151
O8fnQkCRVBUgPj3RGOahxg,0.38917410714285716,2014,15,113
Y-XaviZ6SppRcXX5ic_gSg,0.21536195286195292,2009,15,133
ADJsLPTY96mutXln6E26Lg,0.1754774305555555,2013,14,88
WfMhZ7Iov1I2JPGybHj7Tw,0.16312532995459827,2018,12,45
LZ6infjJ6UVWQHjxftTYVA,0.04848484848484849,2011,11,78
_KQvlc1fIIwt-tw-i7952A,0.22323922821969697,2015,10,4
IoT_PuRM2DH5c0rGl87Etw,0.15281385281385282,2014,8,17
5_eQLKMdoWjv4zLkA-UfpQ,0.16625,2014,8,29
kBKAShoR_8dLv7ZpR9ysdA,0.15380244755244757,2015,8,17
ztsdvNHR6gfaFMRu-pOVag,0.13277310924369748,2008,7,26
G3bU4yR2FaqhZe_EvrV2Rw,0.0875,2016,7,82
g10334MwFYm8Wl6fOCMx-w,0.18564566798941798,2012,7,0
_0bCAN7t8E7FfimJa0bCSA,0.2117136591478697,2014,6,123
5qnCIF2flDRvMLmwXDUXsA,0.05297979797979798,2016,6,1
xhE_PFnv8QHF723xoI9Z6w,0.1931763285024155,2011,6,10
Rem9BdDs6FnivF8S_CTdVA,0.20238095238095238,2013,6,204
4fpDbRpE5qcy9jBmpUP4hA,0.019838446577577017,2011,5,376
ADp7PDcb_t0o5Wlh0v9WUA,0.2534013605442177,2014,5,29
Im5-e4Hm9iHRPvxOk7TXJg,0.09848484848484845,2013,5,118
oGWJeojeKmQamAQUlueYJQ,0.13284111721611722,2017,5,15
QQMmcGWYFPgZPhhMcX0Lww,0.28446969696969693,2011,5,103
ep6VelESyPQqx0J7BHMALw,0.18678546831955922,2014,5,39
lEZ2QRM0uNbenLNWnsr5Fw,0.13172514619883038,2014,5,0
IPCfui_3ZdUDNzbQEB_5_w,0.5552083333333333,2009,5,103
BDTKyL2PyWbwED03PqiDZA,-0.00708333333333333,2008,5,20
bhN9IU1jHXPMjkQZBuXfzg,0.13143939393939397,2012,5,8
nuY2u7TbX7vFXdWnWFoLoQ,0.04166666666666667,2012,5,12
mk91uINZilw-WxeXBFiZMg,0.1823559670781893,2012,5,21
gJ96wTQAf31lwt7JfIFjJg,0.129875283446712,2008,5,35
azCGarlflxJAC_QHjFDJGg,0.10537240537240537,2016,5,10
c4hgNRao_NinRO0wkeUFgA,0.18055555555555555,2013,5,64
tsLeeadxbhE61jmBkOBHkA,0.09248436748436746,2008,5,103
ujPa2etD7J8V4VaG7x-AIg,0.17034313725490194,2016,5,40
MKchSP6YuvYObyNJE-TSlg,0.34716630591630593,2015,5,25
39UuUcQUMZhzaPqRvmyzQQ,0.10300453514739226,2013,5,11
7GfGziAPOfWZerzc4i3ljw,0.2379901960784314,2014,5,0
e_ky9foiR9B8pcWbgJ--VA,0.22118413195999403,2011,5,69
cB-SzLev1rq-SdDcr1enUQ,0.09439655172413795,2017,5,0
GE15qfP8Rpa4H4DmXLrGHA,-0.24,2011,4,0
yHlwQAmGNk43z6_iAL1RgA,0.1920055821371611,2018,4,6
gtzpWKp8sN_ltJfpenS67Q,0.2501041666666666,2011,4,16
7dIECXEpsXvqD6Wg_vr1bg,0.329811507936508,2017,4,49
MFLTBtDEsvo57ZPWCyEEpA,0.20869708994708994,2009,4,6
OVlolGmHRVeEEbtY23sUSw,0.10787037037037035,2011,4,20
V1B0hAf4oG0qksCrAWQZYg,0.13775252525252527,2009,4,22
8G_HJ2qFo3nw9VTA1OpgRQ,0.030459355459355464,2016,4,19
fAoalFl0l1OIwwyRBTax1g,0.12469113756613755,2016,4,1
20_ETf2gkxbG36mBXTWaLg,0.25849999999999995,2009,4,66
EZZIQPlE53WWOgFLJdtTfw,0.07379032258064515,2016,4,133
c8q5HqXSqNu3mol1siNKXA,0.1438011988011988,2011,4,3
5t4bb969XaejMTIg8c61SQ,0.22067307692307694,2017,4,1
p8jzoA-bxAWEPnqgD0N6Uw,0.16213654766286342,2014,4,4
izIiIZgRZfo09Pwr2iQ6WA,0.013194444444444465,2010,3,14
3zyIbzpaNFdW39ZmS3EaeQ,0.0926839826839827,2018,3,2
AlCOC59koNdHCzOPAxcLqA,0.22432900432900435,2018,3,1
htT9HNz5IaNPvP_5pqTZ1A,0.121875,2010,3,32
z8kmh-jaapyzQZmTR-MCVw,0.29042699724517906,2014,3,41
Y_MyDR0qcLl1pPqkf6nwGw,0.0625,2012,3,7
WvG0NKtJufdRlwf7gzuzNQ,0.2644919786096257,2012,3,12
kOMOlRkaJ15cPlOLhM_L0g,0.21250000000000002,2008,3,1
hF6XvTiqIFLK0QC280r6cw,0.47428571428571437,2016,3,183
