review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
3eaUwdnXsemLcMs6Mq1f_Q,0.13341258818342147,2010,17,648
hotX72lpK7EkV-HBSRYedw,0.23983585858585857,2018,10,62
xjQGQka3MjZ6rgflhiE3eQ,0.05446428571428571,2011,7,5
imBqPqWXv4SNFJzG2yNuFA,-0.015881673881673882,2010,6,117
kUz5SZB8IIPyD0gplS5Msw,0.21532186948853618,2013,6,452
LpnM32gv4SBphgp4JpmgSQ,0.22104145854145857,2015,6,452
m69gGxVFsV0XV4xCiOvbaQ,0.039909297052154194,2015,6,5
kx-WRVrmVPC53l_7sJqmsQ,0.3029761904761905,2010,5,2
dwQw3kpu7rsgrhrt72w2Ww,0.04618055555555556,2017,5,28
PWkzEYYxNlmt9qUF_Tzymg,0.14259259259259258,2018,5,6
2wmy7sL1Dfs3ZQCxKt9MOQ,-0.062024456521739116,2017,5,78
1T3r6sR9CJcIanf23iROGg,0.22788461538461538,2010,5,402
eEOQMB1EEhR_nEayszmN1w,0.06666666666666667,2018,5,0
6F4uknviK-H9XNqA1wedyA,0.05700644841269842,2012,4,0
YjFEHnWY6s2rjPlb6yO9Og,-0.005555555555555548,2015,4,1
k2JQ6of6eagAKmZdk0qDFQ,0.08873348873348873,2012,4,0
DglyGuvrDQlNxPzdaObpWA,0.2887471655328798,2010,4,258
Bqr-yYNp2amFLgw_1xMSfQ,0.36571428571428566,2013,4,106
TRIAI0xMCg8xmGCCnpYNeg,-0.4154166666666667,2014,4,1
KPLsOwr7c0nUf6zo1A4ggA,0.3316558441558442,2010,4,11
Hj8_u6EukWSt7T5PKe4DZA,0.15858585858585858,2012,4,3
xzqwq2Gg_27CCxOmzdAOFQ,0.11576776165011456,2015,4,62
IJlDIiI1BPMg0xQwN6oNJA,0.5222222222222221,2013,3,2
j3_PLwqoonG3PnHwJb7MTg,0.007017543859649127,2015,3,35
vrsP0I9Ks_sFiOY4h1n81w,0.07197712418300656,2017,3,0
