review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
ECJXh1y7yFmVbESS0UUzrw,0.3829365079365079,2016,79,531
6ptGILAMHcgs9z4tjjDQLg,0.44619047619047614,2015,53,219
Ldz7tX0OOG5iEmaM5A3jzQ,0.19676339285714287,2018,46,319
1iOTtZIj0ZbGojzs1hOOdA,0.30476190476190473,2017,41,71
xwBs3jZJzDJzR6lntibICg,0.2598684210526316,2015,40,336
HcsjBpdv30uIB-2YW9lqMA,0.3536255411255411,2015,39,88
ExmpDvLGC18vKtqiDgnTMQ,0.19115961199294537,2015,35,769
fE85tbGQB8qPlhikewLO1Q,0.2501736111111111,2016,27,25
Oamq11V_CAAZgC_gSrUEww,0.26896258503401366,2018,26,536
I1spR7p-iC_Eew9J9ZTqyQ,0.25525609935332155,2018,25,218
1bpBm4ssQnkiE3KH46IAfA,0.3192361111111111,2015,25,99
YZl8FOSoK1jFSUzwIA7Bkg,0.23562499999999997,2016,25,125
OoTvOR0-ykFZmEhXogqQGg,0.19233346585387398,2015,23,148
2FQYMNiw6v9_VgWEnPxZpg,0.4330357142857143,2018,20,71
4JsBf4TnzXFoGXBdPext5Q,0.34629446004446,2015,19,81
eKlLo_v_jm4sB5ziFyuvcA,0.30518518518518517,2017,19,113
ZPXwRMAiIEPJKHiwtKv6BA,0.34942189754689745,2015,17,1500
gKVKgZjyDpG0hsBEyehzDQ,0.259827993697479,2016,17,126
g8m0aXUj7-vZgbj0yLb9Fw,0.24733672124976475,2015,17,641
LHAFTzhHdjj1EMuRS2CUNw,0.15546218487394958,2015,15,13
k1abT7YhQYi3OthZ0XPpCg,0.26907242063492065,2016,14,263
KMNjGPAdwzbmbzG93ZK3Uw,0.3277777777777778,2017,14,378
DeJMtbjKvjCtCt7bLjneew,0.3012301587301587,2015,14,189
JAWylfsh6wvMjwMG0nF-Gg,0.17560639880952378,2015,13,80
sgyeEARtSRSXalzzQCTXIw,0.18410383597883598,2015,12,40
drC37rn8A2PChhYh1ZLkYQ,0.17855616605616606,2016,12,86
5GFnWmZik4SRWSreLdb-qg,0.3295200892857143,2016,12,195
HTSTGIeOi9KhR3ESY6tn8A,0.13780612244897958,2015,12,49
ei8HBYW-LqhLhFay0_4ysQ,0.40473684210526306,2017,11,178
WmgLeEekmMoAqKl-xqQpow,0.309375,2017,10,110
siMapaTjcrg7U5UGlqsnsA,0.5833333333333334,2018,10,73
txj-nu22n3q6sl85B1A7Sg,0.46826923076923077,2016,10,89
_4bOAw4ozw-WTOA82wwSgg,0.3461850649350649,2015,10,29
mSVax5Eqsmud0MUgjHOcMA,0.2854506802721089,2015,10,57
EToqF4u5GZopCvQYptiAvw,0.1815238095238095,2015,10,168
e8p8_-SZoVgE-6nFOPf_nw,0.1634722222222222,2015,10,75
wXjcSuwZvijtBMCyIBRpqg,0.25502305665349145,2017,10,1462
aVES2vhMvLcwpzHcdSea6Q,0.35311447811447816,2015,10,219
OS1p3JtjH3CaqUrkFBhgFw,0.3542670454545454,2016,10,82
DkdxbfohXnBdGOZss5EAyA,0.45709701178451184,2016,10,181
Fz-DUYUdOubNzqDvWwLqFQ,0.15088235294117647,2015,9,55
SduRLqBK96xeye-iSAB6sg,0.3357007575757575,2015,9,63
kVd8kptX3bM71_Y0QAtN_w,0.24994252873563216,2015,9,121
jqj-PLXj_YteCJ12UMTx0Q,0.08218954248366013,2016,9,19
CUt6nKZz9FSMiZgYybhzOg,0.061482873851294896,2017,9,912
H0m0mVdySumaM_k_wUPIAg,0.13791887125220456,2015,9,74
3l0ucaAAs8qCpGL613S8dg,0.3933779761904762,2015,8,47
8dOnlGakpf_8jHH7dKGVYw,0.44758333333333333,2015,8,99
PjlzyN21FRk5re947oUIQw,0.288053613053613,2015,8,152
qq9pZE4OsImQDc8Kr9Z1MA,0.29797979797979796,2015,8,149
Fot0pXMVE0eyZYslVm72Bw,0.18047805642633227,2015,7,24
R0Vlw8J4Ns73n8HbaUbmLg,0.5821428571428571,2018,7,19
iHIiV0SE6Grhqu1HkM3Xjg,0.19322916666666667,2016,7,70
u6eAFw8ButkJIlzs7m8Pkw,0.5256944444444444,2015,7,65
8ac15OXuIbQKSXddY3tORg,0.17024309024309023,2016,7,71
qjmgUmwnn0iy49-H5pPBdQ,0.2239583333333334,2016,7,48
-CXKRbA3tvBbLmZRNl_9Yw,0.31015624999999997,2015,7,34
dPGFacLMuZtTmq-tQ9EAFw,0.08185185185185184,2017,6,10
_CSc1vvV8dAFsqiWZb2dnA,0.22671568627450983,2015,6,7
MbKlvgIx3kzlAc2H92hiAQ,0.3056349206349206,2018,6,22
mxM4xPgQ69zBrOcF7DGvUw,0.09126984126984126,2016,6,37
4AzwSSIFstPs-LLtVw18Ww,0.30758658008658,2015,6,44
Emg6-obOWltzASb3MaPVkA,0.026758832565284173,2016,6,39
3VN-SVIbR0wYYELZPStVYQ,0.17566844919786098,2018,6,100
S0vvzUAoYlwOHNkRDaRFHg,0.32420634920634916,2018,6,133
sSQ56oLS6IqKKCp78OM1BQ,0.16666666666666666,2016,6,46
