review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
VpZXl6rT5J1PuhNBN7uD_w,0.8333333333333334,2017,16,89
GC191pzgzr8GcsgCVPs7mw,0.19995376574644863,2015,11,4
9Wj0S-5DsBvsLufNmtaIUw,0.14656926406926407,2015,9,15
r638d8BkFrzs_fLyhmWKFg,0.19083333333333333,2013,9,0
fvVGNBpSYW8xTNBnKoLrKA,0.23495817245817247,2009,8,85
QG0Urk0LfvT1YPQwGUoTGg,0.28250000000000003,2011,7,0
PK154I6df-VK0_rr6Ex09A,0.20476190476190478,2012,6,1
skBcWWKqDdkldn82uSWL9Q,-0.11197926469665599,2012,6,2
dqEVROwSZeDbCqRaEkArVQ,0.07203260149274555,2011,6,3
QZfcg3xfs1eDQgPn8_ScjQ,0.30978267228267226,2012,6,344
LxjqOeoEWOCoyiUxWG-mVg,0.12833333333333335,2011,6,7
mn38UWcZdDN0fccvygsARw,0.103525641025641,2009,5,528
wGU_4gcNVxyn6hfbK0bC1Q,0.2857142857142857,2009,5,3
jwEzgRDjotrJ-hwr-vtKIA,0.1812276612276612,2011,5,4
g36vqkOsAlF-g7jGLpwBVQ,-0.1055504019789734,2012,5,0
Or8fmL6RVy5lHFewk0OnLQ,0.3333333333333333,2016,5,4
LPepxwhB74VWQI97rYcSAg,0.24444444444444446,2016,5,42
e44CFov8ZC_85ITqA0av8Q,0.11081349206349207,2012,5,2
7Qeoil6F6AHoQxNPY8Hh_g,0.36431216931216936,2009,5,93
7fPGYGpg3n77YaWMFi2SQA,-0.010073260073260072,2016,5,1
s1YFbvA6BCs-3t4o8uncqg,0.12661564625850338,2011,4,2
Ta-n_SWcvx1tyTnIoyY3Fw,0.25012315270935964,2016,4,78
bTIbLSrNVsisDxjGF_mJvQ,-0.10312499999999997,2013,4,0
O18jzchSPEDIgnKYrTHUxg,0.008767361111111113,2011,4,0
fmMVdBnK-61bQiOXIDebMQ,0.08585227272727274,2010,4,0
jxh0pLPc_lCjiGx5eIndQQ,0.39916666666666656,2012,4,7
aop8Rcx6A5KE4eIuzBErhg,-0.08008658008658007,2008,4,2
