review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
4uG6Onx5UylLz3mzEYiJiA,0.3861111111111112,2011,123,228
T-thZSKmlZEotV4qEjbbng,0.22166666666666662,2018,34,172
A4kBOUrs7I2shBYk-W-u2Q,0.23153084649837896,2008,25,289
-BErqF0DmbnltrcyPIzFwg,0.18547619047619043,2016,25,136
-Y_8NeKrabK1IMDL6jHvXg,0.25618580765639587,2016,20,328
HfFVhwiz0rfmCsktwwvaug,0.11796296296296299,2014,19,1878
s9GlI_TsFcO86s8Ei_GbhA,0.3054166666666666,2009,19,1558
L7yyxzRIkhmP5pLPd1b1Gg,0.4605221688034189,2013,18,896
GkHSVzIqQ3LCnEoiTE-J0A,0.2716347841347842,2012,18,625
GtwRYc13KqWSGeLPjLPD7w,0.2568089430894308,2012,17,62
hie8-UUskSV7sylA3AVefQ,0.14649659863945577,2012,17,730
VS2hfpxrQ_0fecjOGw4OCQ,0.1502111130878254,2018,16,34
w_0Tls6aH9ewgrkocPw1fQ,0.34769988242210464,2016,16,190
-NfkC-w9xHeZ40q-CyGVLQ,0.16285454545454545,2014,15,234
YfzniQehT4GURhpFBE0R9w,0.34315476190476196,2016,15,142
FG3BQeT716L7723eONZB6g,0.31447619047619046,2014,14,148
k3esqbg0sKbm92DJ0sQlXg,0.4138888888888889,2012,14,172
nzMELw6x_g0XS1NY6DpYow,0.3053314393939393,2012,13,2
rNxgBu8BRj_xeNyGGo0hcw,0.3448721340388007,2016,13,231
757QxyQ2XEw7D_GdAOFbJQ,0.24029220779220783,2015,12,132
nPHtZrgx6MZWFtc2h7VESQ,0.49618079289131917,2015,12,70
wrn31ULysNK_r-CUgkmMvw,0.09870464852607709,2012,11,210
kmu7uco9os5Y6bjmsHtk2g,0.2868524970963995,2012,11,79
OzTvvulYmM5487F3Wcfomw,0.4178431372549019,2009,11,1098
yRhpdlfzTF9Zy-JUjZyS6Q,0.3432581018518519,2015,11,192
QN7wMgSmEDfZ1tBC0YPYjA,0.2457046332046332,2015,11,105
_S-CzUHx4jjy-ZZZ_UTgaw,0.30577791461412146,2018,10,193
S_tKcsxHya0EtWCUErsVaA,0.24443019943019942,2018,10,124
apy7SrxqvhhJNlWfG0S7Pg,0.1220579117063492,2011,10,102
fZyH1dxAx-9h_Ekb3M0dJw,0.31145833333333334,2013,9,293
xn9_2t1apscoTje_2M55Iw,0.2648809523809524,2017,9,643
0OFnBwgDoSY-z2i0pk7T8Q,0.05574945887445887,2017,9,8
eFC5LXSCxhlwg72IneTwXw,0.3224544552669555,2013,9,891
0LtAPghqAZMkEMDm_pupQA,0.2294254658385093,2014,8,46
iM6lYtgumX49AjUj0HtdgQ,0.24316812439261423,2008,8,343
Kum56VmN0Ct2Xmh9xYnYNA,0.3114417989417989,2012,8,96
36-3gGodxdx1CUkCujqO1w,0.19693452380952378,2010,8,104
mQ7IXn4-Ywwf0vup1BOpfw,0.22914340448823206,2011,8,82
ZPgSzL5cps0rBzKMCb9INw,0.00568181818181819,2012,8,11
DGE2jdVUNDVH2An6XKdyOA,0.016317783523665867,2017,8,42
XL2p0R4jF__pKHn8HZ5Gxw,0.19384615384615383,2013,8,35
PYer5i7NIw7svSu1KhF5pQ,0.28354166666666664,2015,8,53
P4k75mrdZpRc_try1E5Oxg,0.15944702380952377,2010,8,102
4z1TBZ3xRA8_kCNHuh7bkQ,0.22035256410256407,2012,7,103
BhCduY9xin7KMhwNoCRl3g,0.1822916666666667,2016,7,108
1dxUEuHDmW5jPCEoH82cCA,0.20819444444444446,2012,7,126
WRXCldjEATQbd0jUbyj3bQ,0.3566983433998599,2016,7,47
IIrIw5ASSouobFYI3-GK2w,0.1493948412698413,2017,7,27
-fLstZ4wfdMi-48SdY1eOg,0.2115987460815047,2008,7,364
likqs96l14ehlWvWIMLPrQ,-0.036555555555555556,2011,7,2
aZJSROX2QIjanXCsiwC-4A,0.0983974358974359,2008,7,697
ynoYENrYwVuTQGLHWL2ezw,0.13881932021466906,2014,7,40
bXkmk_t7vUgRwTRBgaJNGQ,-0.12055555555555555,2009,7,65
sz1-dRribqKvPS0uLp0oPA,0.3137580437580437,2018,6,62
98BiRlY7x3sFdxvCNBxA1g,0.1596525096525096,2013,6,34
Dklze-hU5uGQfDsDnR0Xjw,0.5642857142857143,2018,6,42
uXlnd_qhWtUT2LH8275uDw,0.4110076530612245,2013,6,65
rutVHhtX7rPDzHlihN-xzQ,0.36072486772486767,2017,6,88
wfYvNaqRrsM7vCnVsIAJZw,0.03365591397849464,2012,6,65
OVRXvi4fbKsXJpUJhi_AaA,0.2589247311827957,2018,6,26
nk7ttLn_TQOvx_2rpnjfYA,0.31015252976190477,2009,6,39
gm5ayq8sD31HBgkV_N2I_g,0.15500000000000003,2014,6,0
FyBFQQuSnva9pxKciF8VrQ,0.2982043650793651,2012,6,24
DhqwPS56xAWSR3UFfPCyow,0.39230769230769236,2016,6,94
FSp9kiniOO5LzSARvv2CiQ,0.31321280071280067,2017,6,29
aE41Zd-tjSq9KJ3pXyWkEA,0.3394409937888198,2016,6,86
PR6MQ9SdlFLxZHEIw73FiA,0.29876302083333334,2009,6,60
O0D-_QDZeORl6Ee9oyCVsw,0.26437908496732027,2015,6,301
tpFvrtBe0uMkEUAUweUYhQ,0.4451041666666666,2016,5,120
4emTvQ06gmSEDkmTAukBNA,0.1937244897959184,2008,5,87
KzIobS10jkaMBPsMRBeqcw,0.38231195887445896,2008,5,86
B2IVP4NGBLRhqAdkhWwPlQ,-0.044588122605363975,2015,5,53
yIi-FdJipTf_6g5C-V0LLA,0.0875,2011,5,119
7PaZa5JZKPAemRfGyLypQA,0.25142857142857145,2016,5,42
MRvImkHTKHMpqbfH_xuxjQ,0.25920575692963743,2015,5,180
SU-P5xcWOt820W3T2BSaRA,-0.1706060606060606,2015,5,18
-DhkHtEDmIj6A24LX7DBqQ,0.06785714285714287,2014,5,8
0DJjqd4YgL6Gv1hbZYV83w,0.39999999999999997,2015,5,40
th9xwu89R45Neqap7RDSPA,-0.005577601410934743,2011,5,96
KrRUPvLvB8Kemuo9NYs0wQ,0.2652173913043478,2018,5,70
UkrY1Z43SYYG60YDdkpM3w,0.220799512987013,2011,5,1
PWBM9XmtsYpoS0gdYSKcUQ,0.05218749999999999,2012,5,39
iHD0kBYAxAq12tlGOX13Rg,0.24675366300366294,2012,5,134
xbh4EexSruRMvwIWwWesBA,0.25165307971014483,2016,4,172
IWuNOvlykPEPSZtVvYqdbg,0.16011904761904763,2008,4,43
bbda_I6MbvTcAENR-BvZfQ,0.37792658730158735,2018,4,98
j9siZwyWDLLFdDot6VzKPQ,0.3333333333333333,2010,4,110
b1I45bcPaueFRZ9Fc3JQgg,0.30350877192982456,2011,4,25
WE5BLrv4Q3Wd7Zpuqgun7w,0.21222527472527472,2009,4,8
7elCkOsu1H4uJXB9XsAnJg,-0.06666666666666661,2014,4,0
yqQptdKnRdz6I5TATWQ7pg,0.195,2017,4,9
HpyNdBGMwS6ZwUbhgMqbfA,0.5,2012,4,0
Dym4FO0jmK9tRjUb754W7Q,0.22136531986531977,2015,4,5
papeM4mBHw1i88WyWTFCTg,0.12808641975308643,2012,4,10
hvwqmCvMouraBrbvSvvaYw,0.4664682539682539,2018,4,14
1yfRjQBtDrk_dZhynvrc-w,0.1662087912087912,2015,4,1
I4sKlJcuIPtyd_rnjLu-lQ,0.17764291914682534,2014,4,48
BROtfMVqRdfd7gfEH0kusA,0.1672514619883041,2009,4,52
UdBhICN8V7WJH4z18gEh6w,0.36000000000000004,2016,4,45
OGhoM2B4R7NNoVPSLgQpZw,0.20623015873015865,2008,4,40
ZmabMUVg5g3EU2xUUdWJOA,0.39696969696969703,2017,4,97
YDJ25j2Am-KxANPA1YkMFA,0.34768018018018015,2012,4,16
WHynTE1aL1DbqfPBXnqvjg,0.526388888888889,2013,3,41
Qo7xDXpAGCx_x98WWbe3Fg,0.18899976657329595,2014,3,30
sBqmwoLQogIoV5Tc3bjQvw,0.5069444444444444,2012,3,3
oRZx3_8NYOWNqO_MSJQPeg,0.2230654761904761,2017,3,19
-aGtq55-QAmZePpK8fG0TQ,0.3161981566820276,2012,3,39
873WGORbweqDA89p599fuQ,0.4548076923076923,2013,3,3
4r0dgSlRb1pttzaRxZpVdg,0.37031249999999993,2012,3,13
U8NCbLLKnvJDQelOZhtTeA,0.2753351972101972,2011,3,0
KhyuKiSKarPSVi4Vp3xMhg,0.3496313364055299,2012,3,3
No1PPABtGyJ_7qUQZSq9BA,0.375,2017,3,3
lbRzKYxZvZj4xON6tIiEUg,0.24313168063168064,2017,3,113
M9QBFGzVZzflAFjsAPi5jQ,0.6733333333333333,2016,3,15
UOvgLYlLJ3mKgwuih9E8hg,0.27746031746031746,2009,3,117
oeVeg8HKmv0rvpveA5qhKw,0.2806666666666667,2013,3,772
2vv3SZJrPzALKAGY0Y6cDA,0.25833333333333336,2013,3,1
REt_1e4B79D_U6_RHIfNbg,0.43150000000000005,2012,3,2
f1UwGIeeOZrK6_pcV7Cgng,0.07999999999999999,2014,3,21
m7MRbj2Qo37Oq9VJTb4_XA,0.23196428571428568,2010,3,6
RzNHhG99Bg3Xj4QlXOvfxw,0.10202020202020202,2014,3,47
uANNyKIsuihhaBcncPqYuw,0.3468125511875512,2010,3,1
rdPsiMh31PpdMTQtwz1bsQ,0.18791666666666668,2011,3,11
yyoQCfcLHCuO2RAkpRp2Yw,0.3724561403508772,2011,3,0
wnYNI9L5megqqWzl3eTgvw,0.33611111111111114,2012,3,32
QgJGlkWVVTYpt2CNunhXQg,0.38116584564860423,2013,3,32
aw6PVopvO3kT3EUqPFCruA,0.31,2010,3,1
xmpSw5OoYR1rA6d68TAW1Q,0.3602678571428571,2011,3,348
7fAJ86h46dKlqu0GfpME0w,0.2682558139534884,2011,3,45
3onYKZrkMsJENv2OwY_3Fw,0.06061191061191061,2011,3,2
yj3G2CfMP7KUJtYoJMY7Gg,0.2692156862745098,2015,3,2
yoVRPMK_ohbm2ju8O9fe4A,0.20357142857142857,2011,3,4
DMlHLlFAUEoydB_8SRtmCw,0.22183288409703505,2016,3,8
TjDxy2fFtAhobt30rvie_g,0.2628571428571428,2012,3,25
UkuY4yfDhLmfVPRow07nQQ,0.2699307702879132,2009,3,27
Npp21ImYFvhFHmmwACBJ1g,0.391358024691358,2016,3,24
n2stBgwXiJWA5E8CgSZo8g,0.2379233511586453,2010,3,14
8QM2u217dV0hyLvvFtjAag,0.297877358490566,2015,3,23
N0AN_eAfm3aooWKZfjXBuQ,0.27979166666666666,2018,3,18
UG_2bR1M18IGkMMiQBf3Ww,0.26372549019607844,2011,3,26
TpdsdtM5YL5S46OltGpxuA,0.40549776149776146,2015,3,12
FzpLWSNAX6wf33LgLupMzA,0.1136468253968254,2013,3,11
AUZLuRB7xUi_Ob6ObizSjA,0.1465952380952381,2011,3,17
91a42EB6imteI1Ih6a8svg,-0.05799999999999996,2012,3,39
0rdJP7zcdo3ePwmZc6TONw,0.20714285714285716,2011,3,0
E_45MD3cm91gH9YXgEoIjA,0.04958333333333335,2011,3,79
MU4-lKX5VE90L4zLVr67wQ,0.31931818181818183,2012,3,81
PnY4G7y62p5RggrR2ETQaw,0.2876339285714286,2012,3,37
c0WnZlKAjq7f_BAuCEuxXQ,0.24590354090354088,2012,3,67
wC4-rLxzWlJ2vEBItgmghw,0.30113636363636365,2011,3,27
6uNmhIM6LgkE75-QiaJKcA,0.425944715007215,2018,3,38
nQTh3SRreFIGMoMN-dJrsQ,0.2609358974358974,2013,3,2
IXiDXnzTUhhVaYCVpmd0Lg,0.27705387205387205,2017,3,25
8W7qHu4v0rb1xufyjsGJFg,-0.12305555555555554,2014,3,0
PoX6J1APh_-DYahWUO_bug,0.15696649029982362,2010,3,9
LbGcttgha0Vv8Pw3GLFTtw,0.44640350877192986,2013,3,166
WEc-oh3anQFuHDmi0-FrOA,0.08141025641025641,2016,3,19
wQKiByaTpjggx3wZHjMY_A,0.37546296296296294,2013,3,67
ibfvjJ3DEN44w-Yp_ikKxg,-0.14583333333333334,2014,3,1
54iwGd9K5rubKVuqjyU5-Q,0.3170868347338936,2012,3,2
-CR2O7UkiGLaUI8q6T8NmQ,0.1917989417989418,2015,3,258
VJTa3aOtDfw4xv_rbtH1iA,0.2230406746031746,2015,3,78
JbtJhrISWjaE4R7ZDaD0tg,0.17894736842105266,2012,3,54
w9n2dWpQwsveSQD0iuNl-w,0.2908888888888888,2011,3,46
IEKMer5Ia5SZJTUrUWyrUg,0.07222222222222223,2012,3,166
o9SCik_kUxL7l1lTi1HB7g,0.17420634920634923,2011,3,24
xQLD78yI-yWadwIKF5uuOQ,0.2736697722567288,2017,3,15
n_0QXnaIquX5pjBmjrHq1Q,0.15083333333333337,2010,3,170
T6UZ2vyVMW6sIu_4Su0frw,0.26911764705882346,2017,3,114
VdMZQk-2aJNF5UiBKsMNYQ,0.47757575757575754,2015,3,4
F4HzoxLLBUsGkUiiyMGPwg,0.038429752066115694,2016,3,1
renPzRDqMZpMaHiCD_e1_A,0.22429304029304029,2011,3,4
kGJtDnzEpx9S7yD5NqnsUQ,0.3009109477124183,2010,3,39
gCc-2X0imzWS920eE9VcAw,0.37656249999999997,2015,3,87
lbTPkMRgysqOBD0fuRekPg,0.3453125,2009,3,77
hTh59okxnip7vmsi5adsVA,0.38281250000000006,2012,3,1
gmSmFyzYyANRAjSLvtYIQg,0.2769813519813519,2018,2,11
2eiME5y_pHaQAUy5J0xmFA,0.37968749999999996,2012,2,3
morZ_uOixaKqrnjJifIz9g,0.32976190476190476,2016,2,0
VlXmmvsEKHD7LgNZKzGifQ,0.23964862298195624,2017,2,50
-K75bhTLPq9XhcdHqVYSuw,0.3200520833333333,2016,2,3
jH_FD7mycyZGgwlURbujmQ,0.28205128205128205,2014,2,6
e8mexKg2BXy9qb32xfvIlg,0.4758333333333334,2016,2,29
C5sfRoRYZMto2Xc0UXONag,0.5046875000000001,2011,2,16
dONoqvH-Ng8TxKjeBxsSqw,0.19208391690009335,2017,2,5
QPiHw7-4rsJjFEeZqVUwbg,0.10201859907670453,2013,2,11
OZ82ODSVSGdk10ecGi0Kag,0.0050000000000000044,2010,2,20
d5cunokaHco1ZgUY0ES7lQ,0.40714285714285714,2017,2,19
GjQzHl5OSydYwP_dFvLHUA,0.2833333333333333,2011,2,1
mpyquOA0kaYbbM-s5e68tQ,0.2856944444444445,2014,2,7
6xQsUpOYKFYpFfjZDwu-bg,0.27731481481481485,2011,2,10
6PAyb1bpGowatBR8hQeFJA,0.3675,2018,2,3
uNHrWQaRNDt-A5Hcu7CPPA,0.6675,2012,2,55
9Tt-aerSKdzhB3MCkKZreg,0.4074675324675324,2015,2,25
iYDaClPgUQmQ0Fhie84ofw,0.22888392857142856,2015,2,8
W3OPYTbRvvayvfImpVDK-A,0.19693486590038314,2017,2,24
2FlB429TNY7W1IMKHZ9qQg,0.20171763019589106,2012,2,54
xt_Q_XA0LUsni8u8su6XIA,0.3337662337662337,2011,2,0
oHuRDHfIpQ8NiK52tcho1g,0.2446943817052513,2013,2,33
oPI523TdEkqu_L6EenyROA,0.3354166666666667,2016,2,4
Yq1lJGwBU0OjdVBX3FxJ9Q,0.17454761904761906,2010,2,0
Mva7u5dHUS-udkm-GYkSkw,0.35536088061598264,2009,2,366
-gcgbXGGGPZmSSpAN5zrkA,0.3386111111111111,2008,2,55
645qLnrBFZd6lHEwSuB2hQ,0.2995936639118457,2015,2,14
F8hmG8cJf4PWLaJ5INh8MQ,0.27979545454545457,2010,2,35
LidMo8vsiidp5ymFjumHSw,0.13170289855072465,2017,2,22
8rbAYA8uHCxvm3dWfIr_aw,0.05975045485915053,2015,2,3
1Gnj5O7CGWZweIW9snlzLQ,0.36238839285714286,2011,2,25
w-NQieN2yrgKC_REBIB2pQ,0.21182336182336184,2012,2,2
YTCZ4gYYeRmxSdCR2Uq91Q,0.6699999999999999,2014,2,156
-YaX8V9TJD1UWER-eaWgrg,0.1693860699767712,2016,2,24
iXEVkY-beXCALLrdPqwUZA,0.4066666666666666,2015,2,1
hpS75gvmA5HRJyMNfkbpLw,0.31166666666666665,2014,2,13
TX7UG5P8B26jbhztC3N8Ew,0.19697916666666668,2011,2,26
J3sj6ygrjtk8GhMLTmAjug,0.031194599051741916,2012,2,39
Js9V2PgDbTJuIUELaX8Geg,0.3408333333333333,2013,2,8
N1yQqGGqPoI1qSaqWjr2ow,0.9583333333333334,2017,2,5
eiOll3Y8KdgTs5yevH06tA,0.37124999999999997,2014,2,1
DgOZnoQP8VEhog3Seer9NA,-0.02450000000000001,2016,2,33
I1Fud3mU6mxQaZ_ySA4YEQ,0.4244047619047619,2015,2,0
WXjGqdXrmNI7X-0p4cI70Q,0.2854886308659894,2017,2,21
qqfPe-YXN5OVNiky6My7aw,0.26166666666666666,2012,2,22
uHa7O-Jz2FG62lUgeT88ZQ,0.3495562130177515,2010,2,47
LGl9yZGban1hWeoyxz2jIw,0.14067708333333334,2011,2,4
ROf08N9sqxn4ThXimb_ZKA,0.2505634920634921,2011,2,1
hyDAYHETrLy3H_DjHSWEXA,0.19196428571428567,2012,2,4
2UAiPIuyFf8Mal5sKyQieg,0.3148613445378151,2014,2,0
W2t7unQU5is2wcMWVhCLwg,0.21011337868480726,2011,2,239
PGB2pCYm_qJSwlVJZdygxA,0.05250000000000001,2014,2,2
grrP5h0pdf5jV1xBf3yjAA,0.373062678062678,2010,2,2
TCgp-vrYSk-CUhfoNuMz9g,0.3562098997493735,2010,2,44
RQ8A2lbQwPCxJyUFEna8Yw,0.45,2016,2,1
vYymac11ggPmLasoPhsubg,0.14021100427350427,2011,2,348
AaYL1MiFRCQb68o4a7DhkQ,0.33875,2012,2,0
HHWgQikjY-H-JEtBCWOzLA,0.2233333333333333,2010,2,85
UDvthd1mjrGM4HOinFjTCA,0.11666666666666665,2013,2,17
EY583srpAkj-G7se5zrQlg,-0.0866629464285714,2008,2,3
2IqJhv9Z-nkrOKken-T0rQ,0.22171130952380955,2014,2,12
-8c3sCSPCZE2ndeX3Q1uoA,0.482208538587849,2016,2,49
Lx0X6IbJWn6E64OWFS4MZw,0.4114583333333333,2014,2,1
Lq2qulwe4r-f_HUHoYybjQ,0.42291666666666666,2013,2,32
jj4rKpC9-1ziHsrT8nBu2w,0.371875,2011,2,1
_rHehdLur04iOafSPzBTVA,0.4575,2013,2,1
3U-AbYMlWrOKz-50StCumw,0.2952,2011,2,26
Lo7OndU1syQt0vmqEUbqVA,0.5002857142857143,2018,2,38
HTt8WzXbkkS9225Q8OLfSQ,0.6267857142857143,2015,2,14
kUNEL1qoEPo2c2kll54cfQ,0.4916666666666667,2015,2,5
B749UIW0V5cGj22b0lEBtQ,0.3825,2017,2,0
6fQDAGItoM--s9WIoN41ag,0.28287698412698414,2014,2,4
slAd8cOvyjOJCbaisFMZxQ,0.75,2011,2,0
