review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
XeuppW8ZvunIylvCEh8teg,0.0984848484848485,2016,34,37
IfBWRMzjDXXZhsOT6Kz6fQ,0.2730623100303951,2017,27,101
v1n8yqQWS70nS7IBVZSBMg,0.1737585678210678,2012,23,20
iX2eaZX9pqVUzPP_kUYkQQ,0.16908134920634926,2016,20,103
OsXA3Uxpr3O_utanHDvlXg,0.09305555555555556,2018,18,5
vTWs5ynmBdfchBsulPoYzA,0.18900862068965515,2017,18,155
WoWSGgF7lYgf1sunNhGRfg,0.35548245614035084,2017,17,451
x-EAXOPLpa-FALjl5jgW3A,0.15600925925925926,2013,15,125
9nY6d7B53XQKDW2dmxdUvg,0.4270833333333333,2018,14,193
RZE9GnrJqZLAoBBJAtKG9A,-0.08571428571428572,2016,13,1
ONKIGKsDqfr87BU2GewRNg,0.24040000000000006,2013,13,47
UIsmyP-Le--p3bhOB4Uw-A,-0.09078869047619048,2016,13,28
KtgtQbpxWYVU5uuc2_0aDQ,0.35545634920634916,2013,13,133
NPahOeZMEX17FSEaG1RKVg,0.16542699724517904,2016,12,75
s_X8--ksOO2S0jek3tR6sQ,0.13035714285714287,2016,12,0
6-Fp_t78XYvhuSAELpukaw,0.15699999999999997,2013,12,551
Z6OOctsWMwaV9Uo2eRXS-w,0.09698717948717948,2016,12,16
w-ZiwWzJfNOU4IPZc-JfiA,-0.3333333333333333,2016,12,66
TMZhzs2K8cBblMwMmmXnDw,0.3259615384615385,2013,12,29
YX7xOvzCD0Tua5rqM8dN-Q,0.284375,2018,10,37
rdxqrZsee_1nNEqBuxq1-Q,0.17291666666666664,2016,10,0
HhXohc6486IAAnkXjPjlBA,0.35554301948051953,2012,9,7
nF60uh4AvcWHWOWwsnPWYA,0.28515004960317447,2016,9,37
gWz50Y9840_G0JWW2qFdLA,0.45634093915343915,2012,9,55
7jJtPNY7CZznltYDagBv9w,0.21666666666666667,2014,8,2
AliWc8AFgIeZP2-hOH3V9w,0.30135416666666665,2012,8,68
6TF3DA4uYENB4ktvwnjsYg,0.18888888888888888,2013,8,102
QODnSnuCefZ4s-7yDOVuDA,0.2431818181818182,2016,8,0
oaUjo7B5BY0iIuHmELGzGA,0.2761137165303832,2012,8,47
wDm31xiQQiib7-JpYne2qg,0.04565972222222221,2016,8,82
gGabUkIdxuuYdoBqJf52FA,0.06754901960784314,2015,8,86
uvkZSmEmnK33_KYQRNndGQ,0.38148148148148153,2017,8,41
vlrLK_TOnjZUJGaTwYo0Sw,-0.0008663419913419901,2012,8,5
-CXzchP0A3Ib8awx4WytpQ,0.16333333333333333,2013,7,125
X9b3BerEFTTmc6u41ncWZA,0.23155844155844157,2012,7,57
karYlFF8qo6KaFTl2eol2g,0.1724678760393046,2013,7,136
TXcLsHHb2zl4v90bk77J2w,0.05791343669250647,2012,7,12
IBkIGm5sb9mbgZ2WptmXxA,0.48846256684491984,2015,7,40
kCTYfKQsi1UmfeESD8GICg,0.19182692307692312,2015,7,580
ky_9fjH2thJdSamcUkRo5w,0.16249999999999998,2014,6,41
MzlA75pUWHbqgP2h2_Vvig,0.3003565062388591,2013,6,75
g7WO4v3xvGE7GofqpGcZlg,0.05184331797235025,2014,6,22
