review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
uuMlTthfU73HPwrrzybwgw,0.12404371584699453,2013,23,344
TKq75xrgbI2ryri7gqi0Qw,0.17493961352657006,2014,13,452
H6FqkEikjxz6TkCIYEzeCQ,0.19153645833333333,2013,12,23
LYFCo5l5E93GnieG8Sme-A,0.21808148448773448,2016,12,8
ipJfOKIJxxPmenKe2HgHsw,0.15610269360269358,2015,11,56
D5jFkMovK8z2yL-iwyXlEg,0.06595418470418472,2013,11,49
lIUSgJtcKAvXuSF6rlaF-g,0.325735294117647,2016,10,181
X6Q9Tv5h5G3Kv1uk8onEzg,0.22952898550724637,2013,10,3
9JlVC06k0UcCvUoHbDxcRQ,0.20542857142857143,2014,9,528
uoGhjDcP8k_Y7pTGdiww0Q,0.05317460317460319,2016,9,452
6xwepAPJLVbXXFRKBuVjlQ,0.2874125874125874,2014,9,17
rC1QKKb9jOY7Zf3Q8lAU0Q,0.09773809523809522,2013,9,106
PhXZxZbGykfpoDShsdCPVg,0.2499760841836735,2013,8,90
NM1twihZLmhLC366_TqUyg,0.04786255411255411,2016,8,152
GA4DadYYtOB3pGnAj4XiRg,0.14444444444444446,2013,8,799
m73QWFOxmcSxQWxW-CXn9g,0.029538690476190486,2014,8,13
Wlh1gbVVrcPvk0Xwh9Zrzw,0.26486801242236024,2013,8,3
xrtPyLRcZ4X_8T21o_mauw,0.49351851851851847,2014,7,3
tnLtwcxfnSmbkEdgfu8p-Q,0.05396825396825397,2016,7,49
CqIlkCrh9AcuLOqiznA2eg,0.2580158730158731,2013,7,61
pS53Y7YYTMohMB17b9k-sg,0.06515306122448981,2015,7,9
RkTmOC8VIuE7eFB97sdVYA,0.2804407713498623,2015,7,19
kMVP0kJBx_Giy6utRAvnNQ,0.2760257227891157,2017,7,95
xr6ogESZUTx5mKlKYsNFSQ,0.17390350877192978,2013,7,10
QwdatCEQ5nhCFZYHuftO3Q,0.4513888888888889,2013,6,17
8zYgUAFJolEOHzVXMNLoFw,0.017091836734693885,2014,6,7
zWcxoEVSo1XGwSMoADaaiw,0.12390109890109892,2014,6,63
YgtVLIh-kJD15NWV7kB75Q,0.19811660561660563,2013,6,17
3_mDnCO6nlfJZd5UIs9l-A,0.3390228174603175,2014,6,53
BPEHFZgP6gU7PEitdbxoKg,0.22538690476190476,2015,6,127
AIHCgcuMKawW-k7-S3R5aw,0.15555555555555559,2013,6,0
dhV8mD7LUjY2yHuj88tQSg,0.36845238095238103,2014,6,1
ZepHMnibP387FAeutSZDAw,0.3745815805288461,2013,6,190
CCqODjoxnLeZS1DdTdy-DQ,0.2629040404040404,2013,5,78
yB43gvmHtV6d2Vx_-13kxg,0.25456845238095244,2015,5,29
DTZbillO3xg27lvR93nJCg,0.43125,2014,5,15
tB8iJ9vLtSgrUIBkdHBcYg,0.29748803827751197,2014,5,4
D659gxOCkm6dlnPaqKksxg,0.21637387387387383,2014,5,0
KA_GbK_QICNU2WMZhy5Inw,0.13423361360861358,2013,5,29
gqWnVMzNTSNkbnp4bsjaXQ,0.23098039215686272,2014,5,9
yznLn3GdVR_A9rZ1nLF6ZQ,0.30968013468013467,2013,5,0
Gfart4iENXeBybPHQ7RBqQ,0.09820987654320987,2013,5,2
8jjsRZrKk6fm67mwe0VZ6g,0.07442370129870131,2013,5,23
9BYcrt1ck5UYjzOxY9f3CQ,-0.05781249999999998,2013,5,8
D15E_3eSwT60VPzCRtSnlQ,0.2875,2014,5,24
c0dE4j27XvLiIPTPknBVyw,0.34687500000000004,2014,5,2
5zho8D3ej1x1qUCd-DHTPw,0.2967032967032967,2013,5,15
TbEMRjf0aB2x8o4wtum-ag,-0.09333333333333334,2015,5,0
KxegFPLPzDjsBYN2bLoqNw,0.25237179487179484,2013,5,31
lmEWjjcjzyYhge8LNV1hEA,0.6691666666666667,2013,5,0
3VyDZiAXlKqlosea7k2HPA,0.35,2013,4,1
jdZlJc3FQBd8onmfnfELzA,0.39999999999999997,2014,4,0
Jxx-3VJA6XM87z_e1O8omg,0.16702898550724637,2013,4,3
gSY_aFVJ0qnRsWCo5k9Y4A,0.020584045584045592,2014,4,13
gEsfKrV2YuD2UrSMKpuz1g,0.0733946608946609,2015,4,11
PFTDrNgTN9D0qRIQqjU0ZA,0.1475675675675676,2015,4,62
jFoTwr2dIiG4OBKJMNBhfA,0.41111111111111115,2013,4,16
4_T1BkEszUwcuH1iZKRMnw,0.18194444444444446,2014,4,3
0lDZD_YbdsFQdeIAJWG4xQ,0.1535714285714286,2015,4,2
fRt8WIQ9A0gNH6A2E32V7Q,0.2619341563786008,2015,4,8
A0OjjjWnnBhe8hEHJlXrTQ,0.09444444444444448,2014,4,0
XX8-v2c9BrCw_vWpoD7DJw,0.29294871794871796,2014,4,1
Akw8pJGnQq-X0s8PpFZ1_A,-0.14323593073593074,2016,4,4
Mcj6DKQv-z39pnGC487_8A,0.252,2014,4,0
wSq4acgUpw5NxMmzyugN2w,0.10992990461075566,2017,4,423
7GD-ZYgtkzx_hzHM5pdD5Q,0.11183862433862435,2014,4,30
c7qFLnk23CjxBriIpaxb6g,0.3607142857142857,2015,4,0
QsRZV9Uc6HK7xAaYBGc7tQ,0.042857142857142864,2016,4,15
SK81sW41kmGUTjXvByLWww,0.1194251467710372,2014,4,27
11T2c_PcxO_C_ZjEC8h1ag,0.1744047619047619,2013,4,3
oONZ0PBAutfOr4kXI8Vw3g,0.0409824849480022,2015,4,67
tE_1KtKa846KOVnMd0UV7Q,0.3416666666666666,2015,4,0
mKzxUMtMg5dz6RnYCaCN4A,0.056024774774774785,2016,4,27
TMpnNIo129BJ_biRsQHslA,0.20999999999999996,2013,4,2
B29O77jCcwfzkEW1ViQg9Q,0.13442028985507246,2014,4,8
dghQNnFWBoeXnPbZcIfQWQ,0.24135082604470356,2015,4,3
b_FXJ0680HxSVpfV5cccWQ,0.13823529411764707,2015,4,70
oWtM4yl9oXPvTUmykCEDgg,0.3355263157894736,2013,4,0
7rDAekkodiHNaY4gB-sIsA,0.30416666666666664,2013,4,1
2EyW07ZMz90lbLa-CTwqzg,0.26639880952380957,2014,3,12
bBrBDLhEg1fu_Inz_D83DQ,0.36682692307692305,2014,3,0
zt2ix3dQpC9GNdiOwXHJFA,0.16220238095238093,2013,3,6
ZqwgFD9TpDtWGl_FmYDlHA,0.37034832451499117,2014,3,0
02kikt02rlUm9nlevC8r9A,0.14326298701298704,2013,3,203
dQsG_wPLjRimTy6FHzYXSg,0.24520833333333333,2015,3,0
EBOPxPGL5-kdgulRgaywew,0.2613095238095238,2016,3,1
2r7No3w6qPCwL3aqagds4w,0.09828042328042327,2013,3,3
L3VzeUHIyEHippaH-o-dow,0.495,2013,3,0
ne5A-CA_66lFamTW49WWQQ,0.0980432402846196,2016,3,1
2dkf1O8bQPFOA4OBtuAFXQ,0.23382936507936508,2014,3,5
PyLbE5cN53iGo2rG-Fv_qw,0.35700000000000004,2015,3,76
OZfx20PGQCCksIjL_AfiTw,0.26666666666666666,2015,3,2
UMst9ZI04fWIv2aqEhu58Q,-0.08333333333333333,2015,3,6
4FtffHeud3x5FGbQkgNykQ,-0.03187499999999999,2015,3,0
zNSQnbMi_E5f00xfNTTpUA,0.21251028806584363,2013,3,0
zRGjo3xWOSOsgelzkPC7mQ,0.16666666666666666,2014,3,0
9KBI_6NgjC7BePTR4G3kaA,-0.14270833333333327,2016,3,0
ypw7PXqB49uKG3al6gSozQ,0.03514309764309767,2015,3,20
UaqaVuVMFiT-GzDNwTgpGQ,0.11261022927689594,2013,3,3
V5ikX2lsa_bxsbHvqSEdZA,0.25843253968253965,2014,3,9
gSkZXt2g_L-GnGwxcNb7mw,0.0625,2014,3,0
HuvPcu5ZpNCZ5e2kKPzxtA,0.20902777777777778,2016,3,27
cvLrTRlYaVZS3uQ_Z2sR5A,0.3986309523809524,2014,3,0
2N-cBJtUCjqF2QXwMnZBdQ,0.09254385964912278,2016,3,1
Xp_oDDbKqCL-I0saz2YS4g,0.24675595238095244,2015,3,4
XvyzgoIorWCbG9Ruo9Rj1Q,0.33888888888888885,2015,3,4
knqMWHAbHjTjtx0RYK9A0w,0.07088768115942029,2015,3,7
VontJDOok8AhBO22P5IihA,0.4875,2015,3,2
hkxQXBLNGAABn4b2ey3CCA,0.29319444444444454,2015,3,4
OzxHUlQwLR6qeAUwEoU7IA,-0.05588235294117647,2015,3,1
QrMgtl_USRD-RH0pY509qg,0.2245182291666667,2014,3,0
0KZPsDR0XUVtqoId040s1Q,-0.2995238095238095,2014,3,69
73ZhpMg1R7c1i_iEHelVjQ,0.04252929687500001,2014,3,0
BTmNwyWNC7Yly-nRhTFOlw,0.12289285714285715,2013,3,0
7IAySCzj56YXrmex680IeQ,0.23425925925925928,2013,3,2
bNApRFTJiZ5YbQwck3nQrQ,0.2639285714285714,2014,3,3
aiwhujXerrVxm0qns4Zq2A,0.26875,2014,3,4
YPyoC-PqjqsoW81M6L2LVw,0.24411764705882355,2014,3,0
XxhOMuV6raNwvgW2ejtf3w,0.23147058823529415,2016,3,13
eN2EHqlb5-U4yrRN6zRjfg,0.044791666666666674,2015,3,0
myR6sGk4B43gZGfWT5Gv8g,0.2541666666666667,2013,3,13
Gku5DyJlKKJhlbyQWQ2HoA,0.07036945812807882,2014,3,11
dlQPvuhrEo8v_i9sIsQk4A,0.5270833333333333,2013,3,1
EW5JRadPgFaNlKkMEKv92A,-0.08267543859649122,2016,3,0
-4Y2uoHt8j_8PoQKej0VFg,0.2870551378446116,2014,3,6
Tb9krPv5Vd3-tvbCoLtPNA,0.09166666666666667,2013,3,0
xdNryB1LnrgBh0pgyPHUMA,0.0,2013,3,0
KSxYZQoOu2UMTQsALBQeow,0.1306989247311828,2015,2,12
xHcQ2jy3Oo9KcKGdzSwxuA,0.13046874999999997,2014,2,36
gMKdPjMfHPbi7p9ZjxSJRA,0.027380952380952343,2015,2,2
WNdiur1tLIh2Ovl98-S_kw,0.31402777777777774,2013,2,0
6EAEok-8G2068uxc1Uh8wQ,0.19239583333333332,2013,2,0
3RLiO3VPcyKLAA3pSufC2w,0.10277222777222776,2014,2,29
pC-JUaaqRx813Hd3mRF_rg,0.12696078431372548,2017,2,0
2qYqAQR5rlHtaE8HRQ8L_w,0.22843750000000002,2013,2,36
0OoUV2asHLuCrMPpfjIOPA,0.0016203703703703738,2014,2,1
zroJyPdW2bWsXwEruNR3uw,-0.005208333333333333,2017,2,46
ERVdAYeLJXj8uQietcZUbw,0.4375,2014,2,0
5G6UGs8dSEo6APi7-XenUg,0.4447916666666667,2013,2,14
VpY4jcWLykg6yruHON7ffQ,0.11873456790123456,2014,2,0
58iFytDKXaYoyJKoI0x7mQ,0.10262400793650793,2014,2,5
w9KLsxW55Gv4fl30kY_ysA,0.18724404761904762,2013,2,31
rUBnbH3RY7RFfCF2x1atpQ,0.1370833333333333,2014,2,69
T_2t7bZKa2Baqi85zLVx0A,0.1900390625,2015,2,1
vS0iapvokZWiZTiRpo6BUw,0.3726190476190476,2015,2,0
o1ISPqAVRG8ivjqWugKX0A,0.06412037037037037,2014,2,1
vBVhop8Ifr2SUHaV7a2Owg,0.2769230769230769,2016,2,0
00XinJMYzdcTUk656Ivduw,0.5552083333333333,2014,2,1
TPzuVyAduqvvbnAn1bXEJA,0.45557851239669417,2013,2,0
ttMitbBhLT-lws1w6IdoHw,0.32421875,2014,2,3
kddxXba8pndllgiUgwYuYw,0.1407142857142857,2013,2,0
1LOq4377dVm53BbJ2zhsEw,0.27719461697722564,2014,2,0
oP1UJQQnRJ2tx9p-F4sXgw,0.19848484848484851,2014,2,3
uwLcri3ibX1KYYGKBbO4_g,0.12993827160493826,2016,2,4
iXVTGNaYMO-F0MXBEW3d9A,0.06589766081871344,2013,2,0
yjj-lKMqfj7d4kh_-BJ-5Q,0.11249999999999999,2014,2,0
Hq2EbQMMj5bpvOoLGRw44Q,0.12534013605442176,2017,2,55
G2mT_UppQB7hhcSND0Cscg,0.35750000000000004,2013,2,7
Z9DyCbmnaeC7EGbaUKrxIg,0.24375000000000002,2015,2,2
l04JvGJ_pZMnpvoEcuulmw,-0.026116071428571423,2018,2,7
okdwYOJ2ed1HbNn9kOKtYQ,0.195,2014,2,0
4Gz4PLOY7kEA-LssuBfPYQ,0.46190476190476193,2015,2,5
plJSpxK2xo63Xn6PI6GtkQ,0.16030701754385968,2014,2,1
MsEZMnRBca_vVmFXjVowGw,0.48888888888888893,2014,2,0
Gv4Ea-iCJo1qdpsWuhclCw,0.4014520202020202,2015,2,3
eQ4QP1qdypIFucScqxaw3A,0.13214285714285717,2013,2,13
HKtwjTmKmo0hqtX9hgcdYg,0.3413492063492063,2015,2,2
jsbpQjwgQwhimrVR0wmjVQ,0.24722222222222223,2014,2,3
SfaF4bwPAPQdNXbmqVzqWA,0.31562500000000004,2013,2,1
CNORuUYshoSBKz1elvovow,-0.08951923076923078,2017,2,1
uMYYzkMNSvo_inLrCqjeng,0.36579861111111117,2014,2,1
ZwyfBTfkTxByyz6vGCa9BQ,0.47500000000000003,2015,2,0
iqpqziJr9h2wNJEvZcBhoA,0.75,2015,2,10
orZej0MbjDPfQzQ39dV4pg,0.0668997668997669,2014,2,1
kkGyxTSjWSYH5mlmPAOkQg,0.2713203463203463,2015,2,1
ZZjQXcm97qHGwQdioc0KUg,-0.020486111111111094,2014,2,0
qsGnrGJznh02KQQTKiqU1g,0.2754166666666667,2014,2,0
zxBsRQA1bPldbbgwa-cyYA,0.5114583333333333,2013,2,0
mzXUejhUtY2uA7mw9vyTyg,0.19235119047619048,2014,2,1
ycFVTGX_A3QTAIXWSPUuGw,0.2141941391941392,2015,2,2
dNAHLoQG7eTexlzfAFbnhQ,0.14478609625668448,2015,2,3
fLUXcjmVXhNN0Kw5-5_4pw,0.17428977272727275,2015,2,15
wZZcvRR6m2ThZAJ30R51Jw,0.4584415584415584,2015,2,0
nT3zVzVQW0A_mIJurgr__A,0.1484307359307359,2016,2,69
391xRk5qvJm47EBVkAB1og,0.35000000000000003,2015,2,0
ri3WY-W4kdv4A_sT2eKB1A,0.17467320261437908,2016,2,0
Ynn3lcWSfskz1jf7bqwghA,0.6964285714285714,2014,2,0
HYJcLZ9-i_HBlpO2A85Ygg,0.40677083333333336,2013,2,1
BExY73aONudcKtgLlHfMbQ,0.0716666666666667,2014,2,1
-znnKr4m830bJYE56NLhkg,0.18859649122807015,2018,2,6
SdJ54oW5Q_F8f3OsMIIr8w,-0.07670454545454544,2015,2,1
GdVy2eoKcQsQUNH9aY2siw,0.09548611111111112,2017,2,16
5gbm1WSfPjBnpHXnU3NgfA,0.27499999999999997,2014,2,0
0Y7z50b1poHgLBwwLPxhwQ,0.4423076923076923,2016,2,13
jgj_becX0xJybXZU-n6a0A,0.3229166666666667,2015,2,1
VHwzbYXAvglO9BFdY7ZKAQ,0.31416666666666665,2014,2,3
ojBxUER14cYXQ-SyQxaBDQ,0.4230769230769231,2015,2,0
2ePEqfY5MuziM92z6XQifA,0.13000000000000003,2014,2,4
ajPXqXV1H0w9-irdT2Y2UA,-0.13229166666666664,2013,2,1
XSQfiiqlSQdafnuq8Cxb9w,0.12913419913419913,2015,2,0
nbJ6-xeB-OxLIh-5lYrmBA,0.1173015873015873,2017,2,16
VW2EiGlBzxVskpcGZhspsw,0.5808201058201058,2015,2,0
5jhQc4BVMN7bBiyIMT4DAA,0.1756944444444445,2017,2,1
_Uw1mbj8ezVQtaCVXOSJZQ,0.1927083333333333,2014,2,3
EE2YfkuiGTNxqqkK5thCdg,0.11066964285714284,2013,2,1
H11yxQBjnu-4e1dL3uQw3w,0.15937500000000002,2014,2,2
KN1zTANp7fieSFc3Dj78Yg,0.5466666666666666,2013,2,5
T_iuWCgYcxXe6AvXm-JNoA,0.2901960784313726,2015,2,2
6DaFVi9TJb2BR-Yc0Pk6qA,0.3526785714285714,2013,2,6
463PlhZ8DHf37RSW9JMNGg,0.17864959114959114,2014,2,0
iokN4HbRT3JuX2g6wkaudA,0.20863636363636365,2015,2,48
3OI0iwXenqvmqEw3gBt-5g,0.3602272727272728,2014,2,5
cqjOj1UadnqzYAwfPOPlzw,0.43636363636363634,2013,2,0
4gNp-HHfQ2IJ94npHF5Wdw,0.35386904761904764,2014,2,0
zDFfZiA3YJBa9zTpLhBvAw,0.315,2014,2,17
7z5VOCTuNpgnbPiP4KpMwg,0.33564814814814814,2014,2,23
aiRFsPDluH-v0aO52Xm29Q,0.25799999999999995,2017,2,13
b2S65Rc7RtCIf2npAnF6bA,0.03914141414141415,2013,2,10
p1twPKhv9kqIPjxJHJPxmg,0.12433862433862435,2016,2,0
19lk-cMKDprnW-RTmr4Tig,0.32999999999999996,2013,2,0
9Qw0rlPdddE5WfN4-UU5-w,-0.65,2016,2,1
-hHef1sNxKIypMRF5X0zTw,0.1782312925170068,2015,2,2
-UZqlhuHesza5KZwb8tgPg,0.525,2014,2,0
JD6qOCYetIYYCBEUoSZoRg,0.19772727272727275,2014,2,0
PsOZE9DMnOQztmpQL77g_Q,0.284375,2013,2,98
m6wSqjEZ5y7LEfFxHGSTrA,0.1766282642089094,2014,2,2
WbIyZpZSTVLoC8irvQ1dPA,0.4498015873015873,2013,2,2
1KsoOij7e6DpY8NVob3eng,0.38135416666666666,2014,2,0
mprmrOgoYSe_YnRqXxwDpw,0.13918067226890757,2016,2,37
WziBClmdGhwN6dCVfytGBA,0.13805555555555557,2015,2,4
-PsNyEbdaJW4b97SeZXkvA,0.09366883116883118,2016,2,55
vl45j5vsEcwAUQ3zFwvVcw,-0.11428571428571425,2013,2,4
7vfgJTBFh72svPwT3viTNw,0.3114583333333333,2016,2,32
YqQVY7JAeSdbjtq9zBobfg,0.0023809523809523525,2014,2,9
32EaffAwujIKyqk5dYnSyw,0.45173160173160176,2015,2,0
FvTLPRf1fx8wjcSQXeu1Sg,0.2842592592592592,2014,2,2
44ZoPb4EWYwljCDRTrRVhQ,0.027083333333333348,2015,2,0
Y1TBJWS8md42jLShC84dKA,-0.0006944444444444482,2014,2,21
zZzlUl8V_H1bFPKQEah9hA,0.4023148148148148,2014,2,2
9Tceoiaug4jFqdZKZhQ2FQ,0.06734126984126984,2017,2,35
3in24WPokAIL014cqUwNrQ,0.425,2014,2,0
UnPuCmU6X1bO4qmZKGzs4A,0.29387755102040813,2015,2,1
P_fLwJTDWgZ5Wu5lnjAj-A,0.09868421052631579,2015,2,31
FPe5Ysq8JpZRCUVBoSplsQ,0.14144620811287478,2014,2,0
aSznCEBKu0MulUMoXmcRwA,0.1752799422799423,2014,2,61
WH-w8clP9Kuo0jPbb8Ensg,0.2328488372093023,2016,2,51
UL4TaWV42aExPTJYfQ5zNg,0.2506684491978609,2014,2,0
Uo5GJMZj8W1zc8BDaOGAEg,0.21969696969696964,2014,2,0
GSrZVkIA1BJVnYpKsoapaA,0.2933823529411765,2014,2,3
VAaJp-BQ5YQKqG7L8oYShg,0.17142857142857146,2015,2,0
