review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
Yeg8gzefgjP_yl-fXhGDsw,0.2903599773242631,2016,43,1004
LAu_akJ-_IvrwzYsKLxMRQ,0.21651104886399003,2015,33,78
PVHOEFvMdtUz34UygkcliA,0.20000000000000007,2014,33,1878
QnL7QmgLLoyzi8CVBvft0Q,0.27477355072463766,2016,31,507
_kIOEBVLEafPaURwWannag,0.050406184486373184,2010,30,222
mFGskI_T45YqLRrepCd84Q,0.2078096160944998,2008,25,1558
ypKq_98rvP_2LkPisYEYrg,0.2547928262213977,2017,25,228
Al8P1FDxfJxhqwGqasSaHw,0.0010602678571428603,2015,25,4
NJfMMs21dPxE-8QAuo7k3g,0.14964726631393302,2014,23,482
Sb1uGECjeLiH_5Rdmf7p6A,0.29035714285714287,2014,23,245
Dr4TR4sM0ReO0uruVGVBCQ,0.18526813486337299,2013,23,123
MarXObkL6EGmyCSRaVBNjA,0.28181341314935066,2017,22,181
g-18enkDbg9mCeKHeaGnug,0.6319444444444445,2018,20,359
XbLLQs-cXdof5fGzQCvXVQ,0.4708020050125314,2018,20,142
xXbfx6N1TOuI9fiNBjgwUw,0.48,2018,20,377
dVfoiM6oqYjacYXwaNZlwg,-0.04360795454545456,2013,20,76
03AHhWOq8tCGXW6Fz8-YVw,0.3100961538461537,2017,19,123
h1_dD3csMkhXO95q706QuQ,0.22294184845655438,2008,18,1964
SLo8mOZMhVA9nvIXvxGHCg,0.38499999999999995,2015,18,647
1OJMysuwLdit0B491Mp8tw,0.308521021021021,2018,18,190
1QoLfsuRjN5TPeudeEyLFg,0.2170168067226891,2015,18,326
460Jrp797aQ3vDQ4CbCHZw,0.2436657681940701,2013,17,12
NwWbwG3ou1_0XO1t6IxP5g,0.09104123533471363,2010,17,19
2qaK3QibJW6BpxINP_nIiA,0.1125,2009,17,102
GlLHykO2pCkckr1g7Rc9BA,0.1534375,2017,17,131
xIagCwGno0sJKdcHSUZFqw,0.3248245614035088,2013,17,58
XhcT9JyR6lM6ZHOsE8-8MQ,0.13333333333333333,2014,16,148
ecvXnb2OqtXiKf1UdvRZAA,0.28547569444444443,2017,16,190
-gr_qYNzeqo9h6Pq4s677g,0.14871031746031746,2013,15,18
i1YMBE1w6fX92oXs5aNVkQ,0.35570833333333335,2018,15,154
9Yc6MdT1XzDQlZ3CHzbQJg,0.32496438746438744,2015,15,107
CzqoIu6WsL93GNdmNzSA-w,0.20951388888888894,2016,15,112
p9UMhOg3Bk5vk8955HWT5w,0.24384920634920632,2013,14,64
1_EsYa3NKpf791J7MaQSzQ,0.12279726928164429,2009,14,47
fSzsafGK0DIMhPyikTIxlg,0.2440909090909091,2018,14,70
dc2eOMs_SSVd9bp4KWKTCw,0.08104671902126735,2012,14,96
cuVzPuS_eJSKAij5sOU9Rg,-0.028362573099415214,2014,14,92
4DsAgBHbWVTW8oUCfu6oWw,-0.02574404761904762,2018,13,13
bLrr9znWPnNva77tK_Cd0w,0.31783854166666664,2010,13,155
SC_2yLTc_UZ-R8HQYVZuXw,0.14947916666666666,2012,12,82
5BTqYpD8WySXhJf4W1WWrw,0.1370347222222222,2010,12,115
mCsCFipHXA2z4lGPXxWfkA,0.19218749999999998,2013,12,19
q06RThTUl-giCETtPgoZ9w,0.27152777777777776,2017,12,158
CNuVqga1LtPLOf-vYq0HRw,0.05065666872809733,2017,12,0
VZU2_Y0yEb3nX_3n4IbKbg,0.10608974358974359,2010,11,16
TJAC2sh9R9soOhInVK97Og,0.18571428571428572,2015,11,338
5NBqvKaI9xpiOow9DSAVjA,0.15552083333333336,2008,11,127
6ysmIj4f_9OPdBKqW_lN-g,0.3272303921568628,2011,11,2
ey4kGR9FklfnguqQRn9q9Q,0.32083333333333336,2009,11,141
0v9GngjsORW-IiHWjHtb1A,-0.10325670498084293,2012,11,18
j6iBRKlyMaFO_Yh_3ZRDaw,0.17884615384615385,2008,11,16
DelaRSuvC0jdxg5Z59vdmA,0.018888888888888896,2010,11,3
Y7ydPjmRqUj9dI9stmRXtQ,0.3,2017,11,1242
SulLD_rVHIUtnL8htGH1Ww,0.46293771043771037,2008,10,289
58tNTmr5MY8jEEXRoyqeTQ,0.0962962962962963,2015,10,641
uRF2Lu2eaS-bggUD8exE8g,0.20385836385836387,2010,10,156
gJ_xdDuSxIz1Itknqr_s9Q,0.0855385869274758,2012,10,15
zvm3uROmtyifmPtkcUTRAA,0.16731770833333326,2016,10,22
26ogUWQCRnw5KiesKoL71g,0.16265156525573188,2013,10,298
YuyskWFfCv0jkiy2J57i5A,0.030606060606060588,2016,10,135
E3RwpxCqbF7l9-7Fqz_ySw,0.03630711880711881,2015,10,24
UoTDGb4EqTjly5txrzGw7A,0.17975308641975313,2018,9,20
N3Jp-VW_5kVCy5REX2C_RA,0.09277487417731319,2013,9,3
Hp89HlOK-4QLLyHJAwGgGA,0.34234693877551026,2015,9,127
JncN-iOXltp9ru1tVF9Utg,0.05219298245614036,2018,9,114
mseIYGHvHuvn8KJtfeqJBQ,0.24698671497584543,2009,9,90
UI0GMIrUmK74vqyGmmSUgg,-0.0625,2017,9,43
HLuCETihR4DRguOF3x5Hxw,0.16061320754716985,2008,9,36
BFBvIf2wX-WGpfsQY5ZgMA,0.5761904761904761,2015,9,153
y-gYwWxvPgEADMU8CmDn1w,0.1929783950617284,2016,9,91
km9U_Rjf8kozbALWA3OpkA,0.44449999999999995,2015,9,145
8yn4u4PHN_ALYTn5lUUcLA,0.13499999999999998,2014,9,124
oI3pH41D5DoNoRruzzocNA,0.12857142857142856,2011,9,63
0XoC5oX7fG-0oo-kjnfCGw,0.1833982683982684,2015,9,283
WcOXEjXwHZ3gbWQsXtTzOQ,0.1859375,2013,9,300
n75oC5nz_NauitrUrwHFag,-0.008333333333333326,2014,9,0
Ai7c9dIi8u3Ml6xX5LmQeQ,0.2996506050767414,2017,9,26
vJ2ysDkKUOK3NuwxRYUBZQ,0.08308862433862434,2016,9,0
HfForNTQb8lxyLr9HweNug,0.2799546485260771,2012,9,103
1y3Li6NoDahp2bsquxo88w,0.34575396825396826,2015,9,107
qGQlflEdNFQ3GV2v4IZlwA,0.30723214285714284,2011,8,379
Dya22vZDKiNYbatvBNISAg,0.19452798663324983,2010,8,55
mg6srhs53KEjSE8c-mKC8Q,0.1931640625,2012,8,743
gzRBhx1LtAJ0PU1GRwU3LQ,0.17757535674202343,2012,8,220
_8LQhE6_50ZQxMzAYC0Zcw,0.3239718614718615,2013,8,148
NkIaVaKyRkr-3OgZvfOzuw,0.07355105105105106,2011,8,83
zL5u9AgsZbcLXQF2s51bjw,0.25750241779497096,2010,8,132
WPQJWuvK48DEGhlR1XJxTQ,0.23026161081716637,2017,8,80
5hb1V9WevOlsYguYNz-yYA,0.08031798245614033,2016,8,43
PUUBro_2ZNtmXXcsGL1D-g,0.32144565960355437,2018,8,34
8wfvyD9tUcl-xqKEv0Bj7A,0.26108299595141704,2017,8,42
aBqGr1XhDVJdRQ6Hr47k7w,0.24943181818181817,2013,8,129
RuYbdsrtIIuip_28N5qeDw,-0.04166666666666668,2014,8,0
WRQCvWMRV4Vc6fTUL34rKw,0.13958649840725315,2014,8,0
fasHpSdSOLhH2ipJCYob_Q,0.17393707482993198,2013,8,44
xXwcELtBfYbKuaCZEOubsg,0.23593750000000002,2008,8,69
ygBPMn-9O7_dffpMyaD6pA,0.3561011904761905,2014,8,67
MSqE3IA54gY3ugCvyNu2kA,0.03347630718954248,2012,8,13
bT35icjsNhvicLV3x0PIyw,0.0777404761904762,2011,8,78
zE7iw2Dfs94HD7FwlUuvTA,-0.07875000000000001,2013,8,126
ySj7OrikVJIt73F_eihKGA,0.20833333333333334,2017,7,434
ozIX3ACm5ANDzrJS_CcZ-Q,0.0708263187429854,2010,7,146
NQdtHma41Yq64NBvm3dfKg,0.32571997549019605,2010,7,286
xYR2KA5Wa9KFfVN06lXY-w,0.2412878787878788,2011,7,580
iDcvSU-iTi5TLvgpcnqklw,0.14505718954248364,2015,7,0
lkyZS4M0fATP-wl451QTuA,0.39761904761904765,2011,7,8
hTFwH6Yac-c5jhTr_NrSdA,0.21806340718105424,2013,7,0
t6Il6M6xCxGyLiqSK9mIOg,0.22921994415049968,2008,7,14
2Mh8HOkWlS0jPxidvVtEAw,0.09428571428571429,2016,7,2
-BK9m3N5VOGB-3pSdKaQaQ,0.3069940476190476,2008,7,194
dZihgPy0GTZ0wcH7zhsZsg,0.13887224517906335,2017,7,73
da_CaZhoIIHc0edMMJ2oHA,0.19062500000000002,2014,7,35
DfMS5Hku7wuP6ZVTMz3WjA,0.39038888888888884,2015,7,53
anuOrBWEZUYmMeEgxs9ogQ,0.2211809595208033,2009,7,63
tEwKGkVbHsl6WfDBtm-_gA,0.22235133854536837,2014,7,883
6dTd1Swc0q0t0kEdrApr-w,0.21770833333333334,2008,7,697
KKoz85plkXHQ9gkRCFZ-Ig,0.28168263888888895,2013,7,32
TWvH5xRAz5cdhfTFVjzvNQ,0.27253510378510376,2009,7,103
NR3qcVr7TwJxqQWsgLQW1w,0.2895707070707071,2012,7,210
z_fj_374rU1rWNlVwto9lg,0.3395960365853658,2013,7,253
cf4aXm8E5EUcekRHXjKBpw,0.18939393939393936,2016,7,9
Fcumm1O74oix_Tpck5HPRw,0.25510822510822506,2009,7,23
nS3W1bm7Aaq6RvIORCquZA,0.2816666666666666,2016,7,174
x5oRsGn04QtylIEmzlHS7Q,0.04126984126984127,2017,7,0
RrCLoyFunTRiWj9VC8Xi5w,0.1508309990662932,2010,6,38
w6d-H9TeCzcx6fP-HijShA,0.19648936170212764,2009,6,55
BdkK1XaFNupT7uoiZ9KAPA,0.2773386194304562,2012,6,50
l2YyShUh6WeWeMG7PbdF2Q,0.2833333333333334,2017,6,116
