review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
XN37xcVEzUb30NXk12Snug,0.0,2015,114,668
rIB7OZlEvSoWa7uDgpRl0A,-0.1333457341269841,2018,88,512
0o4233RRah232jUWJt_8ww,-0.0019230769230769247,2014,77,1
NbH5OvsLzUwo5cHNe4AvYA,0.23104166666666667,2016,60,25
EJJQoPCdetQHdMPeUHAm6Q,0.24679305069930071,2018,57,190
nbboUIwKX10dzoim7uTmUg,0.14950793650793653,2016,31,0
DNXZjNkKD1S2x7UcOdKQIQ,0.008754006410256424,2014,29,1
ZwQvMhaC18B8zvJUcjCp3A,0.10318627450980393,2012,25,328
8yRvT2id8PtOj3FsIu1GKQ,-0.1763888888888889,2015,23,18
Vt2sThSzYOxYitFr0tnZ_g,0.0692156862745098,2014,23,51
n8VOEJmZ5uFS10UKhAAqVA,0.12521121351766512,2018,22,146
RoG9rEJ0t_MgayzkjTn3JQ,0.16428571428571428,2018,20,359
QVcTiJY44abPrTfD7v-hzg,0.3275641025641025,2016,20,101
d7Pda4dWDIbaGdXMho1TIw,0.2491758241758242,2010,19,87
paiiYWTBQCBvfcOGwZ0TEg,0.06748081463990555,2016,19,60
X1BVLqKG711wdF3LPi8KoA,0.09950572801182558,2018,19,177
Va9vXQ-K_h7iutsCFL8TAQ,-0.07118386243386243,2016,18,22
QCSDIUi4_STN228uRzr1UA,0.09748938969527204,2016,17,0
Zg_MJXT3IBPkm1ev6lOd2Q,0.00947236919459142,2016,16,157
bXdFC0X_Wsb7uT20tFucIQ,-0.014930555555555553,2016,16,206
EsWu58gb7Bm_Q76sj6Gwlw,-0.275,2014,16,2
0TZaQHyoUnpsxQ48k0jrig,0.09108709273182958,2016,15,127
JoUN0wyYeO1OXasORny5jQ,0.26481481481481484,2018,15,27
mFf7La2Pl50Da4ZigDZZ0g,0.28567971380471385,2010,14,67
bVZEQW8GAGJpglqR1MupPQ,0.09437440814393938,2015,14,102
wgzsscyhT0_H1xhnXeQ1-w,0.30734126984126975,2012,14,43
Uw-GAcu4WsfwJvt_qhdSRA,0.3138157894736842,2009,14,233
9OhnPHkFA-Tt_-34PjP22Q,0.20092702169625243,2016,14,81
oQ-HqrFE-vWO85oQV0xQ5A,-0.16666666666666666,2018,14,201
vWn59JeGLg8b_4T4JBuP4w,-0.018326873385012918,2014,13,0
a8T90TzPlFBLq-6GuoGrIQ,0.12041589363017935,2018,13,915
31c31bIalI9RmPXfX5879g,0.09277777777777779,2010,13,293
Jr8lWM2trEzYlPMB8SjFTQ,0.12171545667447307,2012,13,2
IgRquQkKR_cjBwPWQlDH_w,0.21422705314009663,2015,13,6
OdjkaUo8JzgFtiC0O7dsQg,0.18420202020202017,2016,12,80
46oD2MNEqzWh7xhA3Moz4A,0.08830565701659451,2018,12,48
-UpTKmXmwrvO1Xodh-cn-g,-0.06668556311413457,2014,12,0
YPj80jVHK3r-BTL4Ha_Wtw,0.25,2018,12,107
mTyYGcmJBli_7mGRkxVgtw,0.09609481915933528,2017,12,2
Tza6j7zXrxXHWZ4IXraWCQ,0.09,2013,12,0
dP085cb4P_0LkVubfy3czw,0.2856349206349206,2013,11,198
z6eYnmVEA-0KWL1wUeDKqA,0.2107407407407407,2015,11,53
8kTSzPYpgj5de0p1Y_LF4g,0.000979532163742685,2017,11,0
7NeGiO22z3lYizEPnPzGpQ,0.10648453927025357,2011,11,45
hrrvgIbM4-hwCEYwew7GOw,-0.004761904761904766,2016,11,20
