review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
ZCSK8F0_SiwAHwlYYPZXtA,0.2572130102040816,2017,64,142
yFmECMzF4ey62hwqqMKvxQ,-0.025,2011,55,248
X2R0liisc-ghuGP20Karyg,0.1410714285714286,2017,54,1051
W-6Y0iunMUFv9TROTjx1UA,0.2576923076923077,2018,52,182
v0OQgzDh6tH6XSVCe2uk6g,0.2244382640131186,2014,51,340
9lbfm-brWHI6WwoywxBnvw,0.1368146929824561,2011,38,305
w-f1IO-FG2zFYE7VGl7gug,0.23989898989898986,2013,33,730
YAW4-f3ZMeCiv2DfuvxZ_A,0.28582329734219275,2010,31,98
6Jr488qMGWCiqCML4QufBQ,0.26,2009,28,60
O2mxAozpTjQ3Tkj1EL87GA,0.08969494047619046,2012,26,1169
QJZOf5_eekB36NPDOdVQCA,-0.05,2016,26,625
hpjlCIuxkB4foVR0ypChXg,0.11066919191919193,2008,26,1152
ppIbbkB7GxtpoBZCp5sHVA,0.29804487179487177,2015,25,556
7u-eoo9R9Voplsrr6Qmw9w,0.21861111111111114,2015,25,170
x-dF4MimdDM8tpKXOsZ1Tg,0.17279411764705882,2016,25,101
5PS6cmhGsuGNwuAGPMtZUw,0.1461352657004831,2014,25,507
JtQ56ZNV3_6DgDsv9LmSBQ,0.09212678778108468,2016,23,191
2TXdmy3OHiMBgRF5p76iJw,0.2694162087912088,2015,21,406
W-hOxP8R8IKlYRn0YWPQ3A,0.017222402597402597,2016,21,84
Ye2zV2N5eFVk92UP7KuwYA,0.24852941176470592,2016,21,49
eBpC6X7C7_0rcaVxKOLnfw,0.15905671296296295,2016,20,205
5cOP9MD3m--rCGQl35leRA,0.12686342592592587,2008,19,28
yBVFEZTJop74C-us4uypFA,0.15454545454545454,2017,18,283
mKGGdnlGK0AtlFUuGTlerA,0.08382303275920297,2011,18,123
yEhqD4Nob-DT1fmZvOiaGw,0.11112082362082362,2014,17,116
No8cNGJH3a3iVEgiEsHCfQ,0.07484848484848486,2012,17,143
gHdVw_HdjDjF2jlLGDAAMA,0.24530158730158733,2009,17,109
ElSDjXWdZYAcwdceeZMFYQ,0.15996031746031747,2016,16,70
ZwHJpVpPxMxRje8S6FYcNw,0.33902777777777776,2018,16,99
cqeCigoy9t_5uKJHjFNtvw,0.3071078431372549,2017,16,169
yC_-hj90LLE7lGr3weh1tw,0.23964285714285716,2008,15,1558
mYTLAd1JcotbGKT7YzKmUg,0.4051282051282052,2016,15,32
NrIQg8JHalNifUdBxb6LDA,0.22158631772268134,2010,15,300
Pvl0dYlcgb-Hj4HLVj8Eeg,0.07236842105263161,2009,15,1780
3PVhhE0kMb0o3RGSfl4-zQ,0.1185515873015873,2016,15,103
0QrfgNPCZgjk_gpRnWUVew,0.022023809523809525,2013,15,1
QA4qgmSAfhYHLQMnNjVWhw,0.06344696969696967,2009,14,250
RldLCz00LLtJfqtkxP9ddQ,0.10874999999999999,2010,14,565
0slfKWpKjoLdaMtKA06VHA,0.21197705802968964,2015,14,30
sPWbf5klVzbgLfreoWR1ag,0.5,2009,14,156
d6mFBbYWpE9VJRjS6EWKxQ,0.1890557359307359,2014,13,51
hCMC1_7O4mxLNoz2Geczmw,-0.024450247819813038,2012,13,210
eydTzQRKyslihkrBks6VtA,0.1781994047619047,2010,13,156
xtBwsMpNflf862uWf1A28Q,0.08214285714285714,2016,13,85
nsOBdvJzI-_35XMkI2ganA,0.18606442577030813,2011,13,5
fnsCCynPx6l4OVQbKBr1bQ,0.42700000000000005,2015,13,101
QHn-GipFW_WFcUabN55Row,-0.06052681992337165,2013,13,82
RFWkqTzAZcnt5_o-aUIueg,0.12593537414965988,2017,12,25
1GV3zH6DB9h6hAVjs6Hl1A,0.25087719298245614,2014,12,35
P8HtbTwJJWXQ8_YfSAwIBg,0.13523391812865493,2013,12,236
-E2Qw2eCgjGMaHxTG0BZ2Q,0.10098684210526318,2010,12,47
0D-687DU6YFO7O-cEADMvQ,0.4916666666666667,2013,11,116
tn10drU_tHkWITpPdQSJhA,0.44722222222222224,2010,11,420
qXt71spFJ1IiipDTRfe7jg,-0.04145299145299145,2013,11,3
hkAYPFCQGbRagLWM2xzXzA,0.032175925925925934,2008,11,112
7ljZTLsU-KOJJWR856_Wyg,0.14098193473193474,2015,11,1242
E7Df_DIXLqM0NBEEDMIrZA,0.1606060606060606,2008,11,23
-AIDHVF_GFEfuBGVqWCoCA,0.1083333333333333,2015,10,184
P3RRLG9IYLT_nesb35Z8NA,0.29890873015873015,2016,10,18
RDs_u4meUNpC83tORd5pWg,0.5567708333333333,2009,10,355
svjQROy-OrMV-aGenLzByA,0.08412698412698412,2015,10,81
Y-CwXEWQlZ5eCowZcLGhtg,-0.05952380952380953,2010,10,358
9EPE2FQDyXEbZeEgCsXZfQ,-0.05125000000000002,2015,10,346
XJIBc3aPNuiXgWfiZyOMHg,0.2950721153846155,2018,10,154
NZtyUS0h1gWS-KQMt05N3Q,0.05161111111111112,2012,10,239
bheTbjJy3lhz0NzpyZulYg,0.09369658119658121,2017,10,21
_q7xUVMKjqu-7s-iLC2G6g,0.11883116883116882,2016,10,61
Wgxat1pGq91JKHxIvdzXvQ,0.21237373737373738,2016,10,103
dQrWrR6Jo5Vxomqb7vlFzA,-0.037946428571428575,2013,10,51
dJl-q7oxabd9vVJLTIeshQ,0.6,2016,10,83
bTV5NjJr2g6gOniJ6lCyzQ,0.19078947368421054,2015,10,174
mqQOeXtnq18mdE2yCF7U-g,0.021955128205128217,2015,10,2
sxKbpxklI0rSaCmGUR4XIQ,0.2756944444444444,2016,10,27
0_EnjwbrH8l91PjVEeDqyQ,0.06159029649595688,2015,9,42
kb4-Kf424LP_Yt7PgoQowA,0.09229323308270676,2018,9,0
a69BRIWGZP1Oaz9NFbxODA,0.18197278911564624,2008,9,123
TqavmRJ80QhBJ3aUHH6kCA,0.11364989177489179,2018,9,25
wJse0yQGrMEnorIicMDJWw,0.13149523809523808,2009,9,98
3UMD8wG8IXOKWrZLjVLwmw,0.19999999999999998,2010,9,104
ZIErwFcssEvu7juOv4HJKA,0.15456989247311825,2016,9,67
kbxS6v_Ha7sFdDgLAx4Mbg,0.1099647266313933,2009,9,66
Hr97iGqf5luZ8tS0tpbTPw,0.1814102564102564,2016,9,27
FGcukR1D1Xk5orWdblO_vw,0.13095328282828284,2009,9,70
wXkAOjGuEIe2m5FW6djZ1A,0.3048015873015873,2017,9,42
baRl0JwJIBR0QVm1rUEalw,-0.04251851851851852,2018,9,30
avFc2t-33zX71F_ipPff8g,0.30811634867190424,2017,9,10
rG3wawPCR6BCATi1LvZX4g,0.11204702006588797,2016,9,192
ot71u5oK49tiTNKGenvJWw,0.46458333333333335,2018,9,16
5j3mc0BTxWEZoHVXHMc75A,0.20046296296296295,2010,8,2
J4KcENvSbLmkWI7NeYWqUw,0.12954059829059827,2010,8,127
q8ZEmljET-wK7fOy5XUp8A,-0.024057239057239065,2015,8,48
eJvSwNzo5HqeZNhPB57iOA,0.27006410256410257,2014,8,109
