review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
Gh-ioJFaVn5kpPopzRkAJw,0.2640615501519757,2018,133,601
TNjAplCkDI8EPIXQz79jVA,0.3726916868442292,2015,58,220
p8PWflesMEsXS99ZDeyRDw,0.45660943223443223,2017,31,411
EGItIo36ZzO17jJOTej9Og,0.42494565217391306,2016,25,42
NcsnEe2_OkI-_KJ9o8F5fw,0.3205031237701692,2017,24,451
-gfp9gTva9IV9017bz7BMg,0.33924242424242423,2015,24,168
yj4OM8DqfpJWXTUGrhouTw,0.3529761904761905,2017,24,33
IYD1FBYWNMf4mXzsqSBNpQ,0.23032738095238098,2015,19,168
Rhc4Nc7h0Ff76zBsB7qVAQ,0.5377232142857142,2017,13,545
d9r4JXG3q_hIwxgnQHYQng,0.3127450980392157,2015,13,58
HkYEl8kn7bS_cVR0og4tEg,0.11369047619047622,2016,13,894
TUmq4iS-SE5XG6SzzZdMCg,0.39581897451963255,2018,12,82
6LEHB7AhUC9mrbn3fEiknw,0.14534157082234006,2014,11,48
-1AqYZDrJMm5H_3wdtwCDQ,0.504428366969205,2018,11,22
0gUGu0EoOtb2OSjYDpyBOA,0.1558437263794406,2015,10,8
NS-ts-q_Kvv3Y5V2GH518g,0.2569268674587824,2017,9,25
Zg0rcpxyHiGCtq-4-ZV_BA,0.4291666666666667,2017,8,33
EG2ZDzKZPU-Nh2DTCE481g,0.22939393939393934,2015,7,2
vb4n6n5mfW6NAqZskR1cFA,0.283297821969697,2014,7,9
3HmPR82cQcjBqtSrl40btw,0.029254385964912265,2016,7,0
5qah-oQAu9eXReMh0rAwJQ,0.2526049531863485,2014,6,8
NPgohVohXgaTIuIPr518Ig,0.2651761690177638,2014,6,126
hmqAJtnIozozAWLkgO1hUQ,0.07576530612244896,2017,6,8
8dJQMa4Ffu3q3kSDt7NgVQ,0.3321875,2016,6,79
D2vq_ilmiat8Lx6ttsMkhQ,0.297063492063492,2016,6,14
h8duRlfQaFCRmNnKgF7sUA,0.559375,2016,6,2
3FjVksa8C2cbRjpljs9NFg,0.26573927137586806,2016,6,46
GRxN5hYtc5ddjutlH66H-A,0.4303240740740741,2016,6,21
IG5FZHjN_q-yH4kNmMaFyg,0.12478856927386339,2016,6,5
wxz_IZQ73CYPABdqll2d4g,0.1093915343915344,2014,5,0
rcHulirqPx65QwNpviOqHA,0.3098526936026936,2015,5,1
KxNmrDgEi6GGDrOI0UzOyA,0.5172839506172837,2018,5,10
kYp1cSNQhT27qC42-rTOkA,0.42244897959183675,2015,5,0
Sg2r9oL2Qdxzmr6VPDr9hA,0.4422161172161172,2017,5,47
HoB9TLVAdRMamZwGoZcxRQ,0.33349330357142865,2016,5,0
