review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
aH1wvMivlrqkAhelebqthw,0.24526143790849672,2018,81,207
D5j5jQd7d_hn1v6hzraf-g,0.2370926406926407,2018,75,512
2ZWeOxPfLvTsPtAIW7lKdw,0.23658730158730157,2014,33,469
HQdUaljqD5q4MZvbFtAj4g,0.17110953282828284,2016,32,297
P0YRHOr2KqhMYx8ZgwOKHw,0.19166666666666665,2016,32,170
vhHqAz823YoY29UsO0Sfcg,0.1323072451636905,2013,31,287
RkCtgprkx3A4vBWiV5ue_g,-0.2544871794871794,2014,31,328
C-5AlYGslt_EEZaV1FNygg,0.09190000000000001,2018,30,73
L7owJSSIoUZrbdnW7iWXOw,0.19686147186147185,2018,23,23
Yzgk2Ynb6_SClrvZSo3MMA,0.018532986111111118,2018,23,0
AAFbw37MkHrSJ_lkqyVQ7A,0.015410509031198689,2017,22,17
mPiRO8LSceSKbJOlNTJ1ZQ,0.16889499389499388,2016,22,249
FT9P-6p_FbsSiwHLa026fQ,0.054731182795698906,2014,21,54
fiMQx42wX97KnV9L-BiLiw,0.2525200989486704,2016,20,195
2XgjE6Od7vM3LvJQF25IWA,0.036602182539682546,2014,20,31
6efu1uM8jpyKsM_qjS62Og,0.31666666666666665,2018,19,359
mgogs5waPV-n508ee8lN-g,0.15378213957759412,2017,18,127
PfdxIOqQAnzikRMaQ1MjUQ,0.3608333333333333,2015,18,166
mRFclvoYd79ATZKjFPmDkg,0.16372549019607843,2016,18,27
9BPIMqOt5h7gUPCPbVz1Hw,-0.16166666666666668,2013,18,149
I0jKFCSm0k2B7DX4EpF21w,-0.005092592592592591,2016,17,72
MzVqzkaCWqj0sylbJfxnTQ,0.005361432861432854,2017,16,416
WVCyinX1cfDRlUOfUERIng,0.052514964459408904,2016,16,174
KyhXl7a7GzuCNYmtfj7BAQ,0.072953216374269,2013,16,13
RbzAsj3Q9p3JOazs3wTB9A,0.2652912119708995,2012,16,915
Xd4kOmDRk5K689SdmRY9lA,0.3125,2011,15,233
mpYFisChfQtI-i3ryaofUg,0.225,2016,15,229
xELd3WXAMa4M2WleHiSrIg,0.21930199430199432,2017,15,241
CgUaBn1oT-RaDmOHIEvRYw,0.0012499999999999907,2017,15,53
6mK8_88WE627XAaLAxNZlg,0.12830896961331742,2017,14,177
6uZDBge2HECDIGdAe7scEA,0.17833333333333334,2016,14,0
r-wTedOjqXMcCO-Mqr8VMg,-0.17927350427350422,2018,13,512
2bI3inWkFKW2h4v9N-b9Iw,0.20428571428571426,2017,13,131
Kac_PdB8rawB8I5tLSJpiA,0.46249999999999997,2009,13,198
eCTfGMu7boOw94bCeo4P0w,0.16181581828133554,2016,13,41
3snCBxFKo6zG66m5qSQarg,0.23478550903119874,2012,12,81
7NWNe7c5B20iMTFCbciXLw,0.11216356107660456,2012,12,1
