review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
tEZIomRwc9RnrZW62UEeRg,0.32575757575757575,2015,15,61
MaYCuFoG_YbMPgWbA0iHrw,0.33999999999999997,2015,10,251
Ud71w7IaibKDQxuznDVRJw,0.21893939393939393,2018,10,218
0pQKLKIHCddI0lSLpezq2g,0.30953947368421053,2018,10,87
1Yc_Yah3CbSC6EYk5nLmfg,0.3986111111111111,2010,8,29
wp1iS1dmVx25X5Zr3ISB4Q,0.36872899159663863,2010,8,5
1aKVUBKEAH8Zt9vQLaGnuw,0.15921930342384882,2013,6,36
CEifPvH68cOLHnO_Yvl3uw,0.23066378066378068,2010,6,402
kR80RxKGpi14gYKSdZhPfQ,0.23898268398268402,2017,6,31
k0pFZ2KvQTI_qiKZWsiIGg,0.1926751700680272,2010,6,0
GKEIns9qX7C5vz194JBaug,0.05040557889822597,2015,5,0
d2hYr0ac3EJAyIJMIoYIuQ,0.30649999999999994,2011,5,23
ucgCM9x2S3gHRqwmpiDyTA,0.3036458333333334,2011,5,21
pdQ0VMwrKB7OYJT_Wu7OEA,0.0836904761904762,2017,5,2
ri9DS1xs9-rBwxjAt3hztQ,0.11701388888888888,2010,5,154
Jcej7U-kHO2ZQfgaNYBZdA,0.2393817204301075,2015,4,27
WUnMOriuWyJIPNVS9ZhDJw,0.2760596264367816,2010,4,2
gT1zkqi8wR07zp-P5nVdnQ,0.17456140350877192,2016,4,0
Zc9cHNdO0VadJz9DgVzx6Q,0.319047619047619,2015,4,99
Zh6L2FaTKcpzn3bwDp8rNg,0.6000000000000001,2010,4,4
QV7bnp2Cv0eF3k9K52KjqA,0.15483440170940174,2015,4,23
AozONrVp_SMJZKEuoeMybA,0.13666666666666666,2015,4,1
rcncZ0Ay2OkLY_1G-p1ZwQ,0.12599999999999997,2015,4,4
S0j6TPgOsShDugjotMC--Q,-0.01309523809523808,2016,4,0
kKhoXtgJfV8ialGaOLUVWQ,0.030555555555555544,2009,4,20
b6qQC3JMhwHC9p7846PVOw,0.09916666666666667,2012,4,1
mxSVHl0-CrRkiL4TAPeJQA,0.08698696145124717,2011,4,2
zFChO5Iihc1mtLy55BFYzA,-0.011346469622331682,2018,4,12
G1OSbd8GB41NrQ8mfVFHFw,0.14317434210526317,2012,3,8
UumS8ymSCCn0xbA4SPJviQ,0.11750000000000001,2013,3,4
NdEjf5EYypztfAbUdhV0Kw,0.4553613053613053,2010,3,4
meO8gf5gneC-_mxQu4-llQ,0.202646750524109,2009,3,56
YblI91tfc9Y_iW1FvhE_ag,-0.03348429951690819,2013,3,2
zMNHZFDGbwhIJ7yDtdQSKA,0.04365763546798029,2016,3,1
0BL9v9Vx1OPnkhD_UjqpjA,0.3661607142857143,2010,3,93
3QlGSGuYruqE0kzgAdYHEg,0.18129629629629632,2018,3,0
KJMgpeXaw9tsT6mm4shH_Q,0.27986111111111106,2011,3,8
yjedZXKjVBKjj0oQpcaPJw,0.13052874979958312,2013,3,9
rSFskaHidYyp5li2HPbdnQ,0.3543333333333332,2011,3,24
RZPFfHxJbmprgml4GsMpeA,0.2599943310657596,2012,3,88
g0YfcPj1-lTrmYNYrcOWyw,0.21041666666666667,2016,3,69
8TTLJjmvA5I9d7MnlF1scg,0.31366402116402115,2010,3,24
-SjabOJ8UZTqRdA4FZrEtg,0.13575757575757577,2011,3,7
FMRgM5aCGjja7W08SKibfw,0.2101890756302521,2011,3,423
LwOPF970k0YPWQqExqS7Gg,0.3534722222222222,2012,3,101
Kbxgci4Az3OlNyKUSazlNg,0.22511904761904764,2013,3,6
AdnLCZiYX2qQlVBEpE2U5g,0.22263957307060755,2015,3,90
QLPnzL2amtDQoYk_InhUbQ,0.22481566820276497,2013,3,29
e6ICvM377f16WIvcGFLzEw,0.027777777777777773,2016,3,25
506hzpF7VrIdenXpsS2KOw,0.1,2010,2,0
kliptY_3PHQvagexhlwSrg,0.015277777777777779,2009,2,1
mroYOSidKIchidomdlbX-w,0.272508210180624,2017,2,18
0lwMKl1muyksMzoPF1Tplw,0.40625,2016,2,0
stKRACZkMsLDIMR0VQPICw,0.3446474358974359,2016,2,16
39nUKcH93oJv0n93ssy2zg,0.10785714285714285,2014,2,7
5nGqTc1IfnQJBjhJ5_w2WA,0.2803333333333333,2016,2,4
4fXuTG0bCbFqwhVYK7YzXQ,0.02999999999999998,2015,2,4
TzIdtHczSM3mAYoPR2m0PA,-0.17821067821067824,2016,2,3
sDLGb-br3BE4cxJg4tV1Cw,0.08238327980263464,2017,2,2
6eSPRAvaGJQKvlGcSJFQ3Q,0.371875,2010,2,14
CBlgwhjIN0vZIongTzWVrQ,0.02916666666666665,2018,2,12
LK7ypCYaOBkz2lNzfdwEyg,-0.175,2016,2,0
Nykttdz_TQEinnpq_hOOhg,0.016477920227920186,2009,2,3
IvGL9KGEm6aCkZfgLs4ioA,0.07997835497835497,2016,2,4
lXpRDpFnnM2R3i2LfoHZDQ,0.18960000000000002,2010,2,4
JA-3vVPF00mt8P8QuuF46w,0.2758221726190476,2016,2,27
PNFTbTIILxAeU3ySEA7oyA,0.14722222222222223,2013,2,54
NJl1kamNq7frz8640Twtuw,0.12984126984126984,2013,2,0
n0x30tCB8yNEPbmCBizwdA,0.06423076923076923,2017,2,22
JZzehB2TWamrv4as7VoHRw,0.2510590277777778,2010,2,117
-mKs3TRv7z0sxRsn61VHVg,0.04485714285714287,2017,2,2
bu8DnHSObTgqbTGzohIH1Q,0.6282142857142857,2010,2,72
jEKVARzmxvnEEUW5KzmW4g,-0.05,2013,2,16
2A_fDY5y66Uo0AWTPpEGFA,0.3609027777777778,2017,2,28
Eenb1AOi_sYblKwi6qc75g,0.11555555555555556,2016,2,12
CvGfg5zOp7HY3PVdKz69Lw,0.285,2015,2,0
NYwugcJQGIt_i6Go1eVyFQ,0.12395833333333332,2016,2,1
967-6usvy5pLm4sClTnjVg,0.10416666666666667,2009,2,7
jS2pNBVZMy8Sg49TYy9AFA,0.19087000962000963,2010,2,0
e69GDNrKfuhoA8JqMaahUQ,0.5666666666666667,2014,2,0
PdtXAbfAinRcsJ3D96JN0A,0.6642857142857143,2014,2,0
yPxORNdS7unnGvJgArvmAg,-0.2833333333333333,2018,2,0
tJRg1ui2mY6l1FjxB19sxQ,0.525,2015,2,4
sIHPP3_qHMdzyWPezoyXiA,0.2271739130434782,2013,2,0
AymWfohgD_zFCuDrq9iB8g,0.23928571428571427,2009,2,17
dVIAHh7sbA-KGheQwxWlyg,0.24861111111111106,2017,2,8
6FjwvhFjoVvs1mXqcbfOtQ,0.05866780045351475,2017,2,5
cxzn-ym3XU316VqXyxdN_Q,0.2485,2017,2,0
XWbv6K-190iD-L-MVutqiA,0.3344083694083694,2010,2,0
S5vsN2EtuAQbOxdqe24lGg,0.3,2016,2,7
RX7C1yGIbZvzsNQnsH6J1g,0.30562865497076025,2015,2,13
DjjyKX32_dl6-GFrinJZjA,0.1213383838383838,2011,2,19
eh8KnTqKZqi3AkSeexUmxg,0.0551948051948052,2013,2,0
zkrrb1Vx2jEX0upbzcmLfw,0.2791666666666666,2015,2,16
AnWXfr3VuIgpQicd6l7STA,0.3843154761904762,2016,1,3
iD_pfYpoFM6LSXWzEj97zA,-0.609375,2011,1,0
KPLAzg4BSNMsbDrVxqfRgQ,0.16597222222222222,2016,1,0
tRJQMWGEZ_3YsQWYsKD4Gg,0.0653763440860215,2016,1,0
Fs4ycb2vFUBPcCWg4NbWXg,0.3875,2012,1,43
FMGrTc5Z8NU2e-hxwiUKLw,0.21404761904761904,2010,1,1
z2wPyXhLfCKpCIOU8D8hxw,-0.08234126984126984,2014,1,0
LjCiCTsUgD_orWpVpXVkmw,-0.09107142857142858,2016,1,0
xGx0yAxSDjxbkeNaMkpaWw,0.040738095238095226,2013,1,106
YutJRChkk8Q7oKH-N7qCPA,0.1199537037037037,2016,1,95
V51QHd3B9JWyOga8wjEG3A,0.5259259259259259,2010,1,1
CHS1TK-Y79dCXqL_-pPGfg,0.23777777777777778,2011,1,19
OCeSmDvnjVqVUxpyT3XqQw,0.6875,2013,1,1
LSvnG8RVAk1-cPnngxABEw,0.22992424242424245,2009,1,0
k3qgu-rl39oTGIFEyP4_Kg,0.14750700280112047,2013,1,15
BOrOoZCtkbbph3mg7TBjMw,0.3070514012896825,2018,1,2
3GuwjnEUqTIr5XTPnTfH5w,0.21388888888888888,2011,1,1
bX9_5UA-EHMcQ9eFzaX0ig,0.0,2017,1,2
bfn9w2gXbR4fQT_66MElYQ,-0.3927083333333334,2018,1,0
0WZNaHtHJkAILDiwkj6sBg,0.1471580888247555,2011,1,25
m0aDocU4wvnqXo8l9ODUEA,0.2643939393939394,2013,1,2
loTfCtdSeRaqz6nu9EWQig,0.1892711962833914,2012,1,1
t_4pKeKhhR0Tuub5ZXXVeg,0.3149831649831649,2013,1,1
1H9eVTDYVlSUAau-DNq7eQ,0.1663461538461538,2013,1,78
Y-aMwhwMfa8F9cwwy_zHfw,0.19523809523809524,2014,1,0
zBudr5HXAdy0i9TB2MZvVg,0.1891693121693122,2017,1,5
76ZxV12kqKSw6Yh6VgTAHg,0.27669172932330827,2011,1,8
yP7gJw3dkPYGujjQijwWmA,0.9,2015,1,2
hnWaiZdpj_LZmt0V5w4TDg,0.2869047619047619,2012,1,1
CNRdPCOPK3tQKXfjkxk2sA,0.6675,2016,1,1
k5jj0VpY9ztqM24fCB5K5Q,0.31583333333333335,2013,1,34
lp2RdHUgKNj_0KUBLlLNsA,0.8333333333333334,2014,1,1
XRrR2P2PO6dqi5sOZUAs1w,0.00870535714285714,2016,1,2
8FcgBBNdtEpqHizyzQ9ZMw,0.31666666666666665,2010,1,4
tOGdDPRwUumEYWixaDrDtw,0.2196428571428571,2014,1,20
yXU2ikMXKkm7jnd2R2jA3A,0.42000000000000004,2011,1,0
vS6aFym16xdiWFdXZgbyxQ,0.1431818181818182,2014,1,1
FjyQY1OFSST1pm3-Vhc8tA,0.1926041666666667,2009,1,4
IMOQhS3fzBJvul5LyFCV3g,0.563265306122449,2012,1,1
TtyKkL_g6MgF9YZidYcFQA,0.40277777777777773,2012,1,69
H8y2FGY83VwOxP7qcIOxqQ,0.2,2011,1,117
tlS7_ecQNt1Gnb0yPWRqiA,0.3988873106060606,2016,1,7
aY9O8roico8cbxl8EC5Xlg,0.3734436198721913,2013,1,78
up1ggfn0GoyKVXcNsydDzw,0.0804021879021879,2011,1,24
R7z1nBg0vUPvnU4OFalgpA,0.16968671679197994,2011,1,150
vok5eNc406GI47Pbz8TdKw,0.34272727272727277,2009,1,0
68E2NU84Yvk3rnI8otEGrg,0.25,2013,1,0
JQ9058US5gydUsq-k67FPg,0.06166666666666666,2016,1,0
CpTNtSZLZ6qf6jOi50teLw,0.3,2010,1,7
lih6oMXCUAQISaHJnL6oYQ,0.7,2013,1,0
ojL9w7quaUbiEtKGGiFgww,0.10039926739926741,2017,1,1
Xl1bK7o0ZzQ7WoEvW3aHjg,0.02812500000000001,2013,1,2
0Ga4HhPYKi-feKGz-7B1mw,0.2888888888888889,2014,1,23
99RAPHuMtw85zAuG9D3-cg,0.45178571428571423,2013,1,0
WKkcxcGyb2TznR9PJewqbQ,-0.1458333333333333,2016,1,0
IsDW9dGfWQDidtj5veI5lw,0.4083333333333333,2012,1,1
eG0tnKMcxHRJjxbdiSNiFA,0.6016666666666667,2010,1,15
Ihux-micyE587z-LdNMGlw,0.6116666666666667,2015,1,1
c3ReMSX00YbJkQC0OIDAkQ,0.17727272727272728,2016,1,13
M9_v2tzEYPls0wiw8zZ2_w,0.15166666666666667,2017,1,0
zYCGrMilr13M1HA4CGxeqg,0.5928571428571429,2010,1,1
tmHqJ8YBCsRQI9Lcdk4pbw,0.0942860377846791,2015,1,0
kNE04Fk3VzpqvlLDgBBWqQ,0.0677245670995671,2017,1,9
MNqq1LIk0H34yY4OxfomCQ,-0.25854700854700857,2014,1,0
wg_jwT381Va40FjJpZXSAw,0.36875,2018,1,0
NBfHr2a7S_GUzMggww4IWA,0.18333333333333332,2011,1,3
X7mOeWbJP0FLrfShIoO9CQ,-0.31444444444444447,2014,1,2
ycDhoS5jQD2xkPfYlrWeVw,0.29444444444444445,2013,1,5
peCCZTEQmEszdZYaoSHlEA,0.0836691086691087,2017,1,0
QK_lE0T7ax2IeVuvikKbyg,0.053030303030303046,2017,1,0
rk3lfpUMDN5ZAxdHqlJNwg,0.17864583333333334,2014,1,1
