review_id,sentiment_polarity,review_year,useful_votes,#_of_user_fans
2E-rAT2KAbM3nEosjLACZA,0.09840336134453782,2018,23,762
_9Q8s4WPmuxpkXakrsgR9g,0.3613095238095238,2014,13,528
K1A7bKDx2OlhE8hhCPqySQ,0.22852068696330993,2010,10,25
_aEgZcSuDfY4KS4mtRGN4Q,0.33907738095238094,2015,9,90
g2jmg-23KsIxQS2I3Ff1Yg,0.26516666666666666,2017,9,87
YY3ddfnJrM8bjx26LB_qRA,0.28042929292929286,2011,9,663
Gxuuuhwjvk3DgKtLcXEc4w,0.13893489763054978,2010,8,150
lGUVqcvV9Or_ebCbTnW4CA,0.09146062271062269,2017,8,76
FVOzBYCR9ShMWhrBnMn0vg,0.2750000000000001,2017,7,9
yExx-KhhwVGEeDwqnahb2g,0.425,2014,6,61
GcFV0rr1rltB9yn3sIrIJg,0.49038461538461536,2010,6,93
UX4A3ubMFgHsJkvtZ_Az1Q,0.13766534391534394,2011,5,117
jkv7Hr-8Mj4c8_-q3CfW8g,0.05459592490842491,2010,5,0
82lidtJDevmPCVCWHz70UA,0.2569327731092437,2010,5,15
4UQXlR0jEaN1l9R26hrf-A,0.17216435185185178,2009,5,2
1EzDKd4rRoLoXE3HsNOrDQ,0.2516947751322751,2016,5,4
8JHEYwsvjmIDP9GMkAVfgA,0.18987777777777778,2016,4,16
vbtdVpBZPR5TUhjI1GlqlQ,0.6674603174603175,2010,4,402
tykX83rjyla8LiIIBgZNag,0.20829081632653063,2012,4,5
rBUu7_PALIR8eP1TMsEGVg,0.08883068783068786,2009,4,2
Vzc3PYaGgsTT0lBTInsIfg,0.3783571428571429,2009,3,0
Zyi0HMUWjgyshoTfEpuHdQ,0.09166666666666669,2011,3,16
mDvXS8PQX4XqIc23YuCj6w,0.32777777777777783,2015,3,13
b0lcheDnnaaYolu34zzhbw,0.8666666666666667,2010,3,32
c2H7LKlBWKOWycm7O4aEtA,0.24626831501831503,2010,3,2
5VS07gw_cSsWrdJkhavUZA,0.32699275362318836,2012,3,4
k8aljjSOkZ6ZWPN3tvLZvg,0.11985407066052231,2009,3,18
wspFbISppaBr9mNdokPISw,0.33811612364243937,2009,3,0
ZwGtQeThjzG5euhQwTtBXg,0.16944444444444443,2010,3,124
8arzY4JobYezA6hDYj8FBA,0.14615930735930738,2008,3,61
uWQ67u9p1NlJo8HJ1HQ5cQ,0.19523809523809524,2015,3,13
sTi5FsGZIfmm1nWah6QybQ,0.021759834368530028,2008,3,23
1BB25gaCNcqXLK0VYaDR3w,0.1079268292682927,2012,3,344
qAGGSLxQ2W7pNpbjKeBKvw,0.1491522366522367,2012,3,14
OmFciC9dVCoFOChneKusxQ,0.2895902547065337,2013,3,3
eLuuC2rmiHRMzdyZ7eQcNg,0.16185992578849723,2010,2,25
XsXXnjN_hx9R_4JaHl8nhw,0.6111111111111112,2010,2,1
-I1l8s20UiaUUdTbR0TtKg,0.4909090909090909,2010,2,1
vIxZeaLVQ9sX8tSWhMTkxg,0.034790764790764796,2010,2,29
7Bp5qa3peCIyCPJVPsIkxw,0.43333333333333335,2012,2,0
thltF1GVWBsuWVod1q3afA,0.16728110599078344,2013,2,7
CWL9dX8uFcAWE5C6ZKe9Wg,0.3166666666666667,2009,2,10
OySXylJ_H3-8xkJQCQg3yQ,0.14472222222222222,2016,2,14
xDBs5gxNbLwoyJVSV8wDtg,0.26145833333333335,2010,2,13
wNCBovB4eQKg_ALbSX_DbQ,0.07166666666666668,2011,2,29
uc8ocank-k_mLo4Rvh8ABA,0.4221153846153846,2018,2,1
tfk7VjC7zkfq_4u70jhQNA,0.58,2009,2,1
